t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.326,0,0,learned,-0.0037,-0.0067,0.9981,-0.0096,-0.0172,0.0197,-0.0015,1.6896,2.5000,-8.6691,1.3629,27.0121,0.6915,3.0000,0.0000,2.0000,0,16.3315,136.7603,220.0000,178.3801,41.6199,3.7724,-6.6634,147.1961,217.1089
2.340,0,0,learned,-0.0038,-0.0072,0.9981,-0.0082,-0.0156,0.0177,-0.0003,1.6896,2.5000,-8.6691,1.3629,27.0121,0.6915,3.0000,0.0000,2.0000,0,16.3315,99.7450,269.4330,184.5890,84.8440,3.7736,-6.6836,110.2022,266.5230
2.386,0,0,learned,-0.0035,-0.0071,0.9981,-0.0054,-0.0123,0.0134,0.0155,1.6896,2.5000,-8.6691,1.3629,27.0125,0.6915,3.0000,0.0000,2.0000,0,16.3315,99.7450,269.4330,184.5890,84.8440,3.7757,-6.7093,110.2301,266.4994
2.435,0,0,learned,-0.0035,-0.0071,0.9981,-0.0054,-0.0123,0.0134,0.0077,1.6896,2.5000,-8.6693,1.3629,27.0125,0.6916,3.0000,0.0000,2.0000,0,16.3315,60.9377,319.6484,190.2931,129.3553,3.7757,-6.7150,71.4285,316.7091
2.486,0,0,learned,-0.0023,-0.0056,0.9982,0.0005,-0.0033,0.0034,0.0148,1.6897,2.5000,-8.6702,1.3629,27.0111,0.6915,3.0000,0.0000,2.0000,0,16.3315,8.5996,341.9135,175.2565,166.6569,3.7739,-6.7298,19.1033,338.9576
2.536,0,0,learned,0.0009,-0.0018,0.9985,0.0128,0.0120,0.0175,0.0175,1.6897,2.5000,-8.6702,1.3629,27.0111,0.6915,3.0000,0.0000,2.0000,0,16.3315,-96.6298,315.3709,109.3706,206.0004,3.7122,-6.7002,-86.2174,312.3830
2.586,0,0,learned,0.0059,0.0035,0.9995,0.0312,0.0315,0.0443,0.0498,1.6900,2.5000,-8.6764,1.3629,27.0030,0.6905,3.0000,0.0000,2.0000,0,16.3315,-36.1951,373.0297,168.4173,204.6124,3.6832,-6.7992,-25.7127,369.9137
2.637,0,0,learned,0.0059,0.0035,1.0010,0.0312,0.0315,0.0443,0.0685,1.6900,2.5000,-8.6764,1.3629,27.0030,0.6905,3.0000,0.0000,2.0000,0,16.3315,-105.7081,483.0297,188.6608,294.3689,3.6851,-6.8735,-95.1495,479.8414
2.686,0,0,learned,0.0132,0.0104,1.0037,0.0530,0.0517,0.0740,0.1092,1.6903,2.5000,-8.6821,1.3629,26.9971,0.6866,3.0000,0.0000,2.0000,0,16.3315,-97.1060,592.9833,247.9387,345.0446,3.6466,-7.0078,-86.4516,589.6221
2.736,0,0,learned,0.0219,0.0184,1.0060,0.0788,0.0749,0.1087,0.1268,1.6907,2.5000,-8.6890,1.3629,26.9901,0.6847,3.0000,0.0000,2.0000,0,16.3315,-144.1319,606.8122,231.3402,375.4721,3.5693,-7.0414,-133.5212,603.3402
