t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.029,0,0,heuristic,-0.0009,0.0000,1.0000,-0.0030,-0.0035,0.0046,0.0027,1.6897,2.5000,-8.6669,1.3629,27.0029,0.6897,3.0000,0.0000,2.0000,0,16.3315,110.0000,110.0000,110.0000,0.0000,33.6880,20.8878,122.8002,164.5758
1.078,0,0,heuristic,-0.0003,0.0009,1.0000,0.0002,0.0005,0.0005,-0.0080,1.6897,2.5000,-8.6669,1.3629,27.0029,0.6897,3.0000,0.0000,2.0000,0,16.3315,136.7603,220.0000,178.3802,41.6198,33.7429,21.0684,149.4348,274.8113
1.128,0,0,heuristic,0.0003,0.0018,1.0000,0.0027,0.0042,0.0050,0.0138,1.6897,2.5000,-8.6674,1.3629,27.0021,0.6897,3.0000,0.0000,2.0000,0,16.3315,99.7450,269.4330,184.5890,84.8440,33.6830,20.7038,112.7243,323.8198
1.178,0,0,heuristic,0.0016,0.0039,1.0001,0.0071,0.0117,0.0137,0.0135,1.6897,2.5000,-8.6678,1.3629,27.0013,0.6897,3.0000,0.0000,2.0000,0,16.3315,60.9386,319.6510,190.2948,129.3562,33.5647,20.7060,73.7973,373.9217
1.228,0,0,heuristic,0.0016,0.0039,1.0003,0.0071,0.0117,0.0137,0.0057,1.6898,2.5000,-8.6686,1.3629,26.9992,0.6897,3.0000,0.0000,2.0000,0,16.3315,8.5960,341.9160,175.2560,166.6600,33.5647,20.8317,21.3290,396.3124
1.278,0,0,heuristic,0.0044,0.0078,1.0009,0.0171,0.0255,0.0307,0.0433,1.6898,2.5000,-8.6686,1.3629,26.9992,0.6895,3.0000,0.0000,2.0000,0,16.3315,-96.6332,315.3718,109.3693,206.0025,33.3358,20.1758,-83.4732,368.8833
1.329,0,0,heuristic,0.0094,0.0140,1.0020,0.0331,0.0443,0.0553,0.0465,1.6899,2.5000,-8.6705,1.3629,26.9957,0.6890,3.0000,0.0000,2.0000,0,16.3315,-115.2291,369.0542,126.9125,242.1417,33.0033,20.0849,-102.3108,422.1424
1.378,0,0,heuristic,0.0164,0.0217,1.0036,0.0557,0.0675,0.0875,0.0658,1.6901,2.5000,-8.6741,1.3629,26.9902,0.6881,3.0000,0.0000,2.0000,0,16.3315,-36.2095,373.2059,168.4982,204.7077,32.5693,19.7047,-23.3449,425.4799
1.428,0,0,heuristic,0.0262,0.0315,1.0061,0.0822,0.0918,0.1232,0.0948,1.6904,2.5000,-8.6794,1.3629,26.9834,0.6868,3.0000,0.0000,2.0000,0,16.3315,-105.9317,483.2059,188.6371,294.5688,32.0870,19.1341,-92.9789,534.4270
1.478,0,0,heuristic,0.0375,0.0428,1.0094,0.1130,0.1202,0.1649,0.1275,1.6908,2.5000,-8.6870,1.3629,26.9748,0.6847,3.0000,0.0000,2.0000,0,16.3315,-97.0175,593.1675,248.0750,345.0925,31.5233,18.4715,-83.9656,643.1623
1.528,0,0,heuristic,0.0375,0.0428,1.0124,0.1130,0.1202,0.1649,0.1455,1.6913,2.5000,-8.6957,1.3629,26.9650,0.6819,3.0000,0.0000,2.0000,0,16.3315,-144.2836,607.7674,231.7419,376.0255,31.5233,18.0675,-130.8278,657.3583
1.578,0,0,heuristic,0.0523,0.0575,1.0188,0.1472,0.1527,0.2120,0.1855,1.6913,2.5000,-8.6957,1.3629,26.9650,0.6789,3.0000,0.0000,2.0000,0,16.3315,-180.2218,673.0019,246.3900,426.6118,30.8874,17.1483,-166.4827,721.0376
1.628,0,0,heuristic,0.0692,0.0744,1.0218,0.1881,0.1925,0.2692,0.2070,1.6919,2.5000,-8.7072,1.3629,26.9522,0.6731,3.0000,0.0000,2.0000,0,16.3315,-144.8623,692.1284,273.6331,418.4953,30.1161,16.6919,-131.4380,738.9364
1.678,0,0,heuristic,0.0906,0.0956,1.0329,0.2327,0.2357,0.3312,0.2752,1.6926,2.5000,-8.7202,1.3629,26.9375,0.6708,3.0000,0.0000,2.0000,0,16.3315,-157.5369,781.8560,312.1596,469.6965,29.2785,15.1407,-143.3991,826.2752
1.728,0,0,heuristic,0.1140,0.1186,1.0420,0.2836,0.2845,0.4017,0.2918,1.6935,2.5000,-8.7367,1.3629,26.9190,0.6606,3.0000,0.0000,2.0000,0,16.3315,-220.8468,758.3424,268.7478,489.5946,28.3272,14.5429,-207.0625,801.2125
1.778,0,0,heuristic,0.1140,0.1186,1.0497,0.2836,0.2845,0.4017,0.3300,1.6944,2.5000,-8.7548,1.3629,26.8990,0.6525,3.0000,0.0000,2.0000,0,16.3315,-258.5505,809.5399,275.4947,534.0452,28.3272,13.6339,-243.8573,851.5010
1.828,0,0,heuristic,0.1425,0.1465,1.0583,0.3365,0.3350,0.4748,0.3615,1.6944,2.5000,-8.7548,1.3629,26.8990,0.6447,3.0000,0.0000,2.0000,0,16.3315,-201.2358,791.7741,295.2692,496.5050,27.3399,12.7728,-186.6687,831.8868
1.878,0,0,heuristic,0.1726,0.1757,1.0744,0.3949,0.3895,0.5546,0.4090,1.6956,2.5000,-8.7770,1.3629,26.8748,0.6374,3.0000,0.0000,2.0000,0,16.3315,-97.9344,848.3048,375.1852,473.1196,26.2626,11.3897,-83.0616,885.9571
1.929,0,0,heuristic,0.1726,0.1757,1.0852,0.3949,0.3895,0.5546,0.4283,1.6969,2.5000,-8.8005,1.3629,26.8497,0.6224,3.0000,0.0000,2.0000,0,16.3315,-70.0836,958.3048,444.1106,514.1942,26.2626,10.6958,-54.5168,995.2632
1.978,0,0,heuristic,0.2081,0.2097,1.1050,0.4522,0.4423,0.6326,0.4733,1.6969,2.5000,-8.8005,1.3629,26.8497,0.6117,3.0000,0.0000,2.0000,0,16.3315,-69.6938,972.8278,451.5670,521.2608,25.2102,9.1681,-53.6517,1000.0000
2.028,0,0,heuristic,0.2445,0.2452,1.1177,0.5138,0.5020,0.7183,0.4900,1.6983,2.5000,-8.8281,1.3629,26.8205,0.5934,3.0000,0.0000,2.0000,0,16.3315,-83.7756,961.4619,438.8431,522.6187,24.0534,8.4466,-68.1688,993.9619
2.078,0,0,heuristic,0.2867,0.2876,1.1358,0.5732,0.5647,0.8046,0.5038,1.6999,2.5000,-8.8565,1.3629,26.7899,0.5822,3.0000,0.0000,2.0000,0,16.3315,26.2244,988.1240,507.1742,480.9498,22.8874,7.5667,41.5451,1000.0000
2.128,0,0,heuristic,0.3295,0.3321,1.1602,0.6367,0.6372,0.9008,0.5477,1.7016,2.5000,-8.8890,1.3629,26.7533,0.5658,3.0000,0.0000,2.0000,0,16.3315,71.2802,992.9614,532.1208,460.8406,21.5898,5.9446,86.9254,1000.0000
2.178,0,0,heuristic,0.3295,0.3321,1.1755,0.6367,0.6372,0.9008,0.5583,1.7034,2.5000,-8.9217,1.3629,26.7148,0.5432,3.0000,0.0000,2.0000,0,16.3315,78.6560,995.0877,536.8719,458.2158,21.5898,5.2403,95.0055,1000.0000
2.228,0,0,heuristic,0.3776,0.3847,1.1969,0.6944,0.7118,0.9944,0.5855,1.7034,2.5000,-8.9217,1.3629,26.7148,0.5279,3.0000,0.0000,2.0000,0,16.3315,136.1704,999.0389,567.6046,431.4343,20.3255,3.9513,152.5446,1000.0000
2.278,0,0,heuristic,0.4252,0.4395,1.2246,0.7541,0.7981,1.0980,0.5895,1.7055,2.5000,-8.9579,1.3629,26.6691,0.5086,3.0000,0.0000,2.0000,0,16.3315,33.7844,984.9821,509.3833,475.5989,18.9270,2.8806,49.8308,1000.0000
2.328,0,0,heuristic,0.4782,0.5036,1.2474,0.8071,0.8849,1.1977,0.5998,1.7075,2.5000,-8.9932,1.3629,26.6212,0.4829,3.0000,0.0000,2.0000,0,16.3315,143.6236,1000.0000,571.8118,428.1882,17.5809,1.8975,159.3069,1000.0000
