t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.382,0,0,heuristic,0.0034,0.0077,1.0000,-0.0059,-0.0066,0.0088,-0.0077,1.7160,2.5000,9.5390,2.0645,27.9326,0.7160,3.0000,0.0000,2.0000,0,23.6757,110.0000,110.0000,110.0000,0.0000,26.9048,27.2270,109.6778,164.1317
1.432,0,0,heuristic,0.0031,0.0073,1.0000,-0.0058,-0.0068,0.0089,-0.0020,1.7160,2.5000,9.5394,2.0645,27.9330,0.7160,3.0000,0.0000,2.0000,0,23.6757,220.0000,220.0000,220.0000,0.0000,26.9041,27.1493,219.7548,274.0534
1.482,0,0,heuristic,0.0028,0.0071,1.0000,-0.0060,-0.0064,0.0088,-0.0255,1.7160,2.5000,9.5398,2.0645,27.9332,0.7160,3.0000,0.0000,2.0000,0,23.6757,305.1135,239.4959,272.3047,-32.8088,26.9051,27.4646,304.5539,293.8656
1.532,0,0,heuristic,0.0034,0.0087,1.0001,-0.0024,0.0009,0.0026,0.0005,1.7160,2.5000,9.5385,2.0645,27.9317,0.7159,3.0000,0.0000,2.0000,0,23.6757,332.2005,260.7257,296.4631,-35.7374,26.9724,27.1142,332.0587,314.8122
1.582,0,0,heuristic,0.0060,0.0131,1.0002,0.0089,0.0191,0.0210,-0.0160,1.7161,2.5000,9.5341,2.0645,27.9277,0.7159,3.0000,0.0000,2.0000,0,23.6757,332.2005,260.7257,296.4631,-35.7374,26.7727,27.3345,331.6388,314.8328
1.632,0,0,heuristic,0.0060,0.0131,1.0004,0.0089,0.0191,0.0210,0.0045,1.7161,2.5000,9.5341,2.0645,27.9277,0.7158,3.0000,0.0000,2.0000,0,23.6757,332.2005,260.7257,296.4631,-35.7374,26.7727,27.0551,331.9181,314.5535
1.682,0,0,heuristic,0.0116,0.0220,1.0006,0.0287,0.0494,0.0572,0.0005,1.7164,2.5000,9.5250,2.0645,27.9197,0.7158,3.0000,0.0000,2.0000,0,23.6757,332.2005,260.7257,296.4631,-35.7374,26.3827,27.1101,331.4732,314.2185
1.732,0,0,heuristic,0.0198,0.0346,1.0007,0.0570,0.0923,0.1085,-0.0092,1.7167,2.5000,9.5118,2.0645,27.9084,0.7161,3.0000,0.0000,2.0000,0,23.6757,332.2005,260.7257,296.4631,-35.7374,25.8286,27.2487,330.7804,313.8029
1.782,0,0,heuristic,0.0317,0.0529,1.0008,0.0915,0.1443,0.1709,-0.0195,1.7172,2.5000,9.4926,2.0645,27.8920,0.7164,3.0000,0.0000,2.0000,0,23.6757,332.2005,260.7257,296.4631,-35.7374,25.1547,27.3979,329.9574,313.2783
1.832,0,0,heuristic,0.0458,0.0746,1.0009,0.1320,0.2059,0.2446,-0.0205,1.7179,2.5000,9.4699,2.0645,27.8726,0.7170,3.0000,0.0000,2.0000,0,23.6757,428.9719,326.2071,377.5895,-51.3824,24.3586,27.4278,425.9027,377.9935
1.882,0,0,heuristic,0.0458,0.0746,1.0009,0.1320,0.2059,0.2446,0.0023,1.7179,2.5000,9.4699,2.0645,27.8726,0.7169,3.0000,0.0000,2.0000,0,23.6757,425.0290,339.3625,382.1958,-42.8333,24.3586,27.1207,422.2669,390.8418
1.932,0,0,heuristic,0.0637,0.1024,1.0009,0.1744,0.2714,0.3225,0.0090,1.7186,2.5000,9.4410,2.0645,27.8478,0.7177,3.0000,0.0000,2.0000,0,23.6757,502.7061,360.3815,431.5438,-71.1623,23.5166,27.0545,499.1681,410.9526
1.982,0,0,heuristic,0.0832,0.1329,1.0008,0.2205,0.3443,0.4089,0.0055,1.7195,2.5000,9.4094,2.0645,27.8205,0.7187,3.0000,0.0000,2.0000,0,23.6757,528.8099,315.1536,421.9817,-106.8281,22.5839,27.1306,524.2632,364.8681
2.032,0,0,heuristic,0.1067,0.1703,1.0006,0.2668,0.4191,0.4968,-0.0083,1.7205,2.5000,9.3710,2.0645,27.7870,0.7199,3.0000,0.0000,2.0000,0,23.6757,590.2051,303.8249,447.0150,-143.1901,21.6341,27.3545,584.4846,352.8135
2.082,0,0,heuristic,0.1314,0.2100,1.0004,0.3167,0.5011,0.5928,-0.0092,1.7216,2.5000,9.3303,2.0645,27.7514,0.7212,3.0000,0.0000,2.0000,0,23.6757,623.5494,388.5525,506.0509,-117.4984,20.5981,27.4064,616.7411,436.5570
2.132,0,0,heuristic,0.1314,0.2100,1.0002,0.3167,0.5011,0.5928,-0.0208,1.7216,2.5000,9.3303,2.0645,27.7514,0.7214,3.0000,0.0000,2.0000,0,23.6757,607.5544,429.8685,518.7115,-88.8430,20.5981,27.5672,600.5853,478.0338
2.182,0,0,heuristic,0.1314,0.2100,1.0002,0.3167,0.5011,0.5928,-0.0208,1.7216,2.5000,9.3303,2.0645,27.7514,0.7214,3.0000,0.0000,2.0000,0,23.6757,532.5594,472.0154,502.2874,-30.2720,20.5981,27.5672,525.5903,520.1807
2.232,0,0,heuristic,0.1314,0.2100,1.0002,0.3167,0.5011,0.5928,-0.0208,1.7216,2.5000,9.3303,2.0645,27.7514,0.7214,3.0000,0.0000,2.0000,0,23.6757,618.6614,547.9986,583.3300,-35.3314,20.5981,27.5672,611.6923,596.1639
