t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.333,0,1,heuristic,0.0188,-0.0406,1.0101,0.0201,-0.0604,0.0636,0.0023,1.6907,2.5000,-8.7123,1.3629,27.0650,0.6806,3.0000,0.0000,2.0000,0,16.3315,110.0000,110.0000,110.0000,0.0000,0.0000,0.0000,110.0000,110.0000
1.383,0,1,heuristic,0.0199,-0.0439,1.0106,0.0210,-0.0621,0.0656,0.0020,1.6907,2.5000,-8.7142,1.3629,27.0684,0.6801,3.0000,0.0000,2.0000,0,16.3315,136.7607,220.0000,178.3804,41.6196,0.0000,0.0000,136.7607,220.0000
1.434,0,1,heuristic,0.0199,-0.0439,1.0109,0.0210,-0.0621,0.0656,0.0077,1.6907,2.5000,-8.7142,1.3629,27.0684,0.6798,3.0000,0.0000,2.0000,0,16.3315,99.7451,269.4330,184.5891,84.8440,0.0000,0.0000,99.7451,269.4330
1.483,0,1,heuristic,0.0214,-0.0471,1.0114,0.0223,-0.0622,0.0661,0.0125,1.6907,2.5000,-8.7163,1.3629,27.0718,0.6794,3.0000,0.0000,2.0000,0,16.3315,60.9310,319.6156,190.2733,129.3423,0.0000,0.0000,60.9310,319.6156
1.533,0,1,heuristic,0.0233,-0.0493,1.0116,0.0261,-0.0586,0.0641,0.0097,1.6908,2.5000,-8.7186,1.3629,27.0742,0.6792,3.0000,0.0000,2.0000,0,16.3315,8.6559,341.8780,175.2669,166.6110,0.0000,0.0000,8.6559,341.8780
1.583,0,1,heuristic,0.0233,-0.0493,1.0121,0.0261,-0.0586,0.0641,0.0325,1.6908,2.5000,-8.7186,1.3629,27.0742,0.6787,3.0000,0.0000,2.0000,0,16.3315,-96.5678,315.7497,109.5910,206.1587,0.0000,0.0000,-96.5678,315.7497
1.633,0,1,heuristic,0.0270,-0.0499,1.0129,0.0349,-0.0494,0.0604,0.0413,1.6909,2.5000,-8.7223,1.3629,27.0753,0.6781,3.0000,0.0000,2.0000,0,16.3315,-115.2491,368.9526,126.8517,242.1008,0.0000,0.0000,-115.2491,368.9526
1.683,0,1,heuristic,0.0323,-0.0489,1.0137,0.0499,-0.0352,0.0610,0.0563,1.6911,2.5000,-8.7273,1.3629,27.0749,0.6774,3.0000,0.0000,2.0000,0,16.3315,-36.2536,373.7795,168.7629,205.0165,0.0000,0.0000,-36.2536,373.7795
1.733,0,1,heuristic,0.0401,-0.0462,1.0157,0.0700,-0.0177,0.0722,0.0755,1.6914,2.5000,-8.7344,1.3629,27.0731,0.6758,3.0000,0.0000,2.0000,0,16.3315,-106.2056,483.7795,188.7869,294.9926,0.0000,0.0000,-106.2056,483.7795
1.783,0,1,heuristic,0.0494,-0.0422,1.0180,0.0946,0.0023,0.0946,0.1143,1.6918,2.5000,-8.7426,1.3629,27.0703,0.6738,3.0000,0.0000,2.0000,0,16.3315,-94.0867,593.7795,249.8464,343.9331,0.0000,0.0000,-94.0867,593.7795
