t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.183,0,1,heuristic,-0.0037,-0.0048,1.0000,-0.0038,-0.0048,0.0061,0.0180,1.7159,2.5000,9.5416,2.0645,27.9332,0.7159,3.0000,0.0000,2.0000,0,23.6757,110.0000,110.0000,110.0000,0.0000,0.0000,0.0000,110.0000,110.0000
2.233,0,1,heuristic,-0.0024,-0.0031,1.0000,0.0022,0.0033,0.0039,-0.0088,1.7160,2.5000,9.5396,2.0645,27.9317,0.7160,3.0000,0.0000,2.0000,0,23.6757,220.0000,220.0000,220.0000,0.0000,0.0000,0.0000,220.0000,220.0000
2.283,0,1,heuristic,-0.0024,-0.0031,1.0000,0.0022,0.0033,0.0039,-0.0035,1.7160,2.5000,9.5396,2.0645,27.9317,0.7160,3.0000,0.0000,2.0000,0,23.6757,305.1125,239.4960,272.3043,-32.8083,0.0000,0.0000,305.1125,239.4960
2.333,0,1,heuristic,-0.0013,-0.0009,1.0000,0.0061,0.0109,0.0125,-0.0067,1.7160,2.5000,9.5376,2.0645,27.9297,0.7160,3.0000,0.0000,2.0000,0,23.6757,332.1959,260.7223,296.4591,-35.7368,0.0000,0.0000,332.1959,260.7223
2.383,0,1,heuristic,0.0012,0.0033,1.0000,0.0152,0.0263,0.0304,0.0065,1.7161,2.5000,9.5334,2.0645,27.9259,0.7161,3.0000,0.0000,2.0000,0,23.6757,428.9121,326.3230,377.6175,-51.2946,0.0000,0.0000,428.9121,326.3230
2.433,0,1,heuristic,0.0012,0.0033,1.0000,0.0152,0.0263,0.0304,-0.0065,1.7161,2.5000,9.5334,2.0645,27.9259,0.7162,3.0000,0.0000,2.0000,0,23.6757,424.9539,339.5682,382.2611,-42.6928,0.0000,0.0000,424.9539,339.5682
2.483,0,1,heuristic,0.0061,0.0115,0.9998,0.0312,0.0524,0.0610,-0.0138,1.7164,2.5000,9.5252,2.0645,27.9186,0.7165,3.0000,0.0000,2.0000,0,23.6757,503.9232,361.7083,432.8157,-71.1075,0.0000,0.0000,503.9232,361.7083
2.533,0,1,heuristic,0.0134,0.0233,0.9995,0.0553,0.0913,0.1067,-0.0135,1.7167,2.5000,9.5132,2.0645,27.9079,0.7172,3.0000,0.0000,2.0000,0,23.6757,529.0487,316.7054,422.8770,-106.1716,0.0000,0.0000,529.0487,316.7054
2.583,0,1,heuristic,0.0134,0.0233,0.9990,0.0553,0.0913,0.1067,0.0043,1.7167,2.5000,9.5132,2.0645,27.9079,0.7176,3.0000,0.0000,2.0000,0,23.6757,599.7422,284.0829,441.9125,-157.8297,0.0000,0.0000,599.7422,284.0829
2.633,0,1,heuristic,0.0379,0.0636,0.9978,0.1255,0.2067,0.2418,-0.0325,1.7178,2.5000,9.4725,2.0645,27.8716,0.7199,3.0000,0.0000,2.0000,0,23.6757,642.5407,393.5574,518.0490,-124.4917,0.0000,0.0000,642.5407,393.5574
2.683,0,1,heuristic,0.0379,0.0636,0.9969,0.1255,0.2067,0.2418,-0.0522,1.7178,2.5000,9.4725,2.0645,27.8716,0.7208,3.0000,0.0000,2.0000,0,23.6757,642.5407,393.5574,518.0490,-124.4917,0.0000,0.0000,642.5407,393.5574
2.733,0,1,heuristic,0.0559,0.0940,0.9948,0.1694,0.2821,0.3291,-0.0643,1.7185,2.5000,9.4423,2.0645,27.8442,0.7237,3.0000,0.0000,2.0000,0,23.6757,566.3071,517.4969,541.9020,-24.4051,0.0000,0.0000,566.3071,517.4969
2.783,0,1,heuristic,0.0765,0.1293,0.9927,0.2214,0.3728,0.4336,-0.0727,1.7195,2.5000,9.4074,2.0645,27.8124,0.7268,3.0000,0.0000,2.0000,0,23.6757,634.7606,540.4898,587.6252,-47.1354,0.0000,0.0000,634.7606,540.4898
2.833,0,1,heuristic,0.1026,0.1740,0.9901,0.2774,0.4705,0.5462,-0.0553,1.7206,2.5000,9.3633,2.0645,27.7720,0.7305,3.0000,0.0000,2.0000,0,23.6757,709.7875,582.3515,646.0695,-63.7180,0.0000,0.0000,709.7875,582.3515
2.883,0,1,heuristic,0.1312,0.2227,0.9866,0.3412,0.5793,0.6723,-0.0828,1.7219,2.5000,9.3150,2.0645,27.7281,0.7353,3.0000,0.0000,2.0000,0,23.6757,709.7875,582.3515,646.0695,-63.7180,0.0000,0.0000,709.7875,582.3515
