t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.240,0,0,heuristic,0.0026,0.0019,0.9989,-0.0042,-0.0110,0.0118,0.0080,1.7159,2.5000,9.5430,2.0645,27.9383,0.7170,3.0000,0.0000,2.0000,0,23.6757,110.0000,110.0000,110.0000,0.0000,26.8729,27.0476,109.8253,163.9204
1.290,0,0,heuristic,0.0024,0.0014,0.9989,-0.0044,-0.0113,0.0121,-0.0138,1.7159,2.5000,9.5435,2.0645,27.9389,0.7171,3.0000,0.0000,2.0000,0,23.6757,220.0000,220.0000,220.0000,0.0000,26.8694,27.3404,219.5290,274.2098
1.340,0,0,heuristic,0.0020,0.0008,0.9988,-0.0048,-0.0111,0.0121,0.0037,1.7159,2.5000,9.5441,2.0645,27.9394,0.7171,3.0000,0.0000,2.0000,0,23.6757,305.1113,239.4972,272.3043,-32.8070,26.8688,27.1059,304.8742,293.4720
1.390,0,0,heuristic,0.0018,0.0005,0.9988,-0.0048,-0.0102,0.0113,0.0152,1.7159,2.5000,9.5445,2.0645,27.9397,0.7171,3.0000,0.0000,2.0000,0,23.6757,332.1831,260.7092,296.4461,-35.7370,26.8776,26.9523,332.1085,314.5391
1.440,0,0,heuristic,0.0018,0.0005,0.9987,-0.0048,-0.0102,0.0113,-0.0085,1.7159,2.5000,9.5445,2.0645,27.9397,0.7171,3.0000,0.0000,2.0000,0,23.6757,428.9906,326.0726,377.5316,-51.4590,26.8776,27.2727,428.5956,380.2229
1.490,0,0,heuristic,0.0018,0.0005,0.9987,-0.0039,-0.0080,0.0089,-0.0043,1.7159,2.5000,9.5444,2.0645,27.9396,0.7172,3.0000,0.0000,2.0000,0,23.6757,425.0732,339.1381,382.1057,-42.9675,26.9035,27.2170,424.7597,393.2587
1.540,0,0,heuristic,0.0028,0.0018,0.9986,0.0011,-0.0003,0.0011,-0.0265,1.7159,2.5000,9.5440,2.0645,27.9392,0.7172,3.0000,0.0000,2.0000,0,23.6757,503.4836,360.2475,431.8656,-71.6180,26.9880,27.5191,502.9525,414.7546
1.590,0,0,heuristic,0.0028,0.0018,0.9986,0.0011,-0.0003,0.0011,-0.0265,1.7159,2.5000,9.5430,2.0645,27.9385,0.7173,3.0000,0.0000,2.0000,0,23.6757,529.6866,315.7687,422.7277,-106.9589,26.9880,27.5200,529.1546,370.2767
1.641,0,0,heuristic,0.0036,0.0028,0.9986,0.0043,0.0038,0.0057,0.0047,1.7160,2.5000,9.5418,2.0645,27.9376,0.7174,3.0000,0.0000,2.0000,0,23.6757,588.2669,303.7020,445.9844,-142.2825,26.9379,27.1016,588.1032,357.7416
1.690,0,0,heuristic,0.0036,0.0028,0.9986,0.0043,0.0038,0.0057,-0.0192,1.7160,2.5000,9.5418,2.0645,27.9376,0.7174,3.0000,0.0000,2.0000,0,23.6757,623.9255,388.8936,506.4096,-117.5160,26.9379,27.4254,623.4381,443.2569
1.740,0,0,heuristic,0.0045,0.0038,0.9985,0.0069,0.0067,0.0096,-0.0050,1.7160,2.5000,9.5405,2.0645,27.9368,0.7175,3.0000,0.0000,2.0000,0,23.6757,607.5158,424.9747,516.2453,-91.2705,26.8960,27.2365,607.1753,479.1072
1.791,0,0,heuristic,0.0071,0.0077,0.9982,0.0142,0.0193,0.0240,0.0035,1.7160,2.5000,9.5397,2.0645,27.9363,0.7176,3.0000,0.0000,2.0000,0,23.6757,534.6991,466.2139,500.4565,-34.2426,26.7412,27.1342,534.3060,520.0893
1.840,0,0,heuristic,0.0071,0.0077,0.9982,0.0142,0.0193,0.0240,0.0035,1.7161,2.5000,9.5363,2.0645,27.9333,0.7180,3.0000,0.0000,2.0000,0,23.6757,607.9370,507.0027,557.4698,-50.4672,26.7412,27.1369,607.5413,560.8807
1.890,0,0,heuristic,0.0120,0.0161,0.9979,0.0316,0.0503,0.0595,-0.0265,1.7163,2.5000,9.5281,2.0645,27.9257,0.7184,3.0000,0.0000,2.0000,0,23.6757,713.3082,544.1115,628.7098,-84.5983,26.3579,27.5531,712.1129,598.0225
1.940,0,0,heuristic,0.0342,0.0524,0.9964,0.1027,0.1668,0.1959,-0.0278,1.7167,2.5000,9.5128,2.0645,27.9120,0.7196,3.0000,0.0000,2.0000,0,23.6757,784.1053,522.0600,653.0826,-131.0227,24.8847,27.6313,781.3587,574.5760
1.990,0,0,heuristic,0.0342,0.0524,0.9964,0.1027,0.1668,0.1959,-0.0278,1.7173,2.5000,9.4913,2.0645,27.8930,0.7209,3.0000,0.0000,2.0000,0,23.6757,868.0655,480.8943,674.4799,-193.5856,24.8847,27.6489,865.3013,533.4279
2.040,0,0,heuristic,0.0342,0.0524,0.9955,0.1027,0.1668,0.1959,-0.0307,1.7173,2.5000,9.4913,2.0645,27.8930,0.7218,3.0000,0.0000,2.0000,0,23.6757,839.3412,590.8943,715.1178,-124.2235,24.8847,27.7178,836.5081,643.4968
2.090,0,0,heuristic,0.0534,0.0835,0.9943,0.1560,0.2530,0.2972,-0.0515,1.7182,2.5000,9.4597,2.0645,27.8651,0.7239,3.0000,0.0000,2.0000,0,23.6757,845.6139,640.4606,743.0373,-102.5767,23.7898,28.0604,841.3433,692.3109
2.140,0,0,heuristic,0.0767,0.1216,0.9926,0.2218,0.3613,0.4239,-0.0558,1.7192,2.5000,9.4211,2.0645,27.8308,0.7266,3.0000,0.0000,2.0000,0,23.6757,842.4676,622.5478,732.5077,-109.9599,22.4214,28.2000,836.6890,673.1693
