t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
3.237,0,0,heuristic,-0.0050,-0.0709,0.9972,-0.0022,-0.0716,0.0717,-0.0145,1.7152,2.5000,9.6120,2.0645,28.0815,0.7180,3.0000,0.0000,2.0000,0,23.6757,110.0000,110.0000,110.0000,0.0000,26.2261,27.3806,108.8455,163.6068
3.287,0,0,heuristic,-0.0050,-0.0743,0.9972,-0.0020,-0.0716,0.0716,-0.0092,1.7151,2.5000,9.6139,2.0645,28.0853,0.7180,3.0000,0.0000,2.0000,0,23.6757,220.0000,220.0000,220.0000,0.0000,26.2267,27.3096,218.9171,273.5363
3.337,0,0,heuristic,-0.0050,-0.0743,0.9972,-0.0020,-0.0716,0.0716,-0.0003,1.7151,2.5000,9.6156,2.0645,28.0887,0.7180,3.0000,0.0000,2.0000,0,23.6757,305.1140,239.4967,272.3054,-32.8087,26.2267,27.1880,304.1528,292.9114
3.388,0,0,heuristic,-0.0047,-0.0770,0.9972,-0.0004,-0.0674,0.0674,0.0045,1.7151,2.5000,9.6156,2.0645,28.0887,0.7180,3.0000,0.0000,2.0000,0,23.6757,332.1951,260.7162,296.4557,-35.7395,26.2716,27.1215,331.3452,314.1092
3.437,0,0,heuristic,-0.0029,-0.0774,0.9974,0.0070,-0.0555,0.0559,0.0218,1.7151,2.5000,9.6166,2.0645,28.0913,0.7179,3.0000,0.0000,2.0000,0,23.6757,429.2566,325.3202,377.2884,-51.9682,26.3958,26.8849,428.7675,378.6009
3.487,0,0,heuristic,0.0013,-0.0744,0.9975,0.0218,-0.0330,0.0396,-0.0015,1.7152,2.5000,9.6152,2.0645,28.0920,0.7178,3.0000,0.0000,2.0000,0,23.6757,425.4568,337.7611,381.6090,-43.8478,26.5724,27.1950,424.8342,391.5284
3.537,0,0,heuristic,0.0078,-0.0678,0.9978,0.0445,0.0009,0.0445,0.0035,1.7153,2.5000,9.6101,2.0645,28.0896,0.7178,3.0000,0.0000,2.0000,0,23.6757,501.7310,357.3823,429.5566,-72.1744,26.5193,27.1244,501.1260,411.0259
3.587,0,0,heuristic,0.0179,-0.0557,0.9979,0.0748,0.0474,0.0885,0.0043,1.7156,2.5000,9.6012,2.0645,28.0841,0.7178,3.0000,0.0000,2.0000,0,23.6757,531.0953,313.6260,422.3606,-108.7347,26.0440,27.1187,530.0206,366.7886
3.637,0,0,heuristic,0.0308,-0.0390,0.9980,0.1135,0.1077,0.1564,-0.0043,1.7160,2.5000,9.5865,2.0645,28.0735,0.7181,3.0000,0.0000,2.0000,0,23.6757,597.2002,288.3368,442.7685,-154.4317,25.3105,27.2448,595.2659,340.8921
3.687,0,0,heuristic,0.0308,-0.0390,0.9978,0.1135,0.1077,0.1564,-0.0018,1.7166,2.5000,9.5672,2.0645,28.0589,0.7186,3.0000,0.0000,2.0000,0,23.6757,633.4982,395.0028,514.2505,-119.2477,25.3105,27.2314,631.5774,447.5446
3.737,0,0,heuristic,0.0483,-0.0147,0.9975,0.1579,0.1795,0.2390,-0.0170,1.7166,2.5000,9.5672,2.0645,28.0589,0.7187,3.0000,0.0000,2.0000,0,23.6757,625.4074,441.7628,533.5851,-91.8223,24.4185,27.4478,622.3781,493.6290
3.787,0,0,heuristic,0.0681,0.0145,0.9968,0.2090,0.2651,0.3376,-0.0340,1.7173,2.5000,9.5404,2.0645,28.0374,0.7198,3.0000,0.0000,2.0000,0,23.6757,552.7121,504.3956,528.5539,-24.1583,23.3538,27.7219,548.3441,555.4712
3.837,0,0,heuristic,0.0933,0.0529,0.9957,0.2642,0.3600,0.4465,-0.0350,1.7182,2.5000,9.5091,2.0645,28.0114,0.7214,3.0000,0.0000,2.0000,0,23.6757,624.2974,528.5613,576.4293,-47.8681,22.1779,27.7960,618.6793,578.5351
3.887,0,0,heuristic,0.1212,0.0960,0.9943,0.3274,0.4677,0.5709,-0.0403,1.7193,2.5000,9.4687,2.0645,27.9771,0.7236,3.0000,0.0000,2.0000,0,23.6757,721.0375,569.9629,645.5002,-75.5373,20.8345,27.9436,713.9284,618.7409
3.937,0,0,heuristic,0.1212,0.0960,0.9927,0.3274,0.4677,0.5709,-0.0413,1.7205,2.5000,9.4237,2.0645,27.9386,0.7262,3.0000,0.0000,2.0000,0,23.6757,803.2264,538.7451,670.9858,-132.2406,20.8345,28.0426,796.0183,587.6222
3.987,0,0,heuristic,0.1554,0.1490,0.9906,0.3934,0.5780,0.6991,-0.0413,1.7205,2.5000,9.4237,2.0645,27.9386,0.7278,3.0000,0.0000,2.0000,0,23.6757,897.5796,539.4970,718.5383,-179.0413,19.4494,28.1073,888.9218,587.0538
4.037,0,0,heuristic,0.1919,0.2057,0.9898,0.4668,0.6984,0.8400,-0.0438,1.7220,2.5000,9.3685,2.0645,27.8913,0.7313,3.0000,0.0000,2.0000,0,23.6757,895.3625,649.4970,772.4298,-122.9327,17.9275,28.2142,885.0758,695.6388
4.087,0,0,heuristic,0.2352,0.2732,0.9873,0.5401,0.8184,0.9806,-0.0668,1.7236,2.5000,9.3095,2.0645,27.8409,0.7338,3.0000,0.0000,2.0000,0,23.6757,908.4374,668.1086,788.2730,-120.1644,16.4094,28.6484,896.1984,713.1665
4.137,0,0,heuristic,0.2801,0.3435,0.9850,0.6192,0.9477,1.1321,-0.0800,1.7255,2.5000,9.2393,2.0645,27.7808,0.7382,3.0000,0.0000,2.0000,0,23.6757,880.9008,663.6739,772.2873,-108.6135,14.7736,28.9583,866.7161,707.4058
4.188,0,0,heuristic,0.2801,0.3435,0.9837,0.6192,0.9477,1.1321,-0.0770,1.7275,2.5000,9.1665,2.0645,27.7183,0.7425,3.0000,0.0000,2.0000,0,23.6757,931.7474,698.5392,815.1433,-116.6041,14.7736,29.0198,917.5012,742.3326
4.237,0,0,heuristic,0.3321,0.4251,0.9801,0.6955,1.0720,1.2778,-0.0815,1.7275,2.5000,9.1665,2.0645,27.7183,0.7438,3.0000,0.0000,2.0000,0,23.6757,971.2068,789.3795,880.2931,-90.9136,13.1993,29.1935,955.2126,831.7724
4.287,0,0,heuristic,0.3849,0.5077,0.9777,0.7760,1.2017,1.4305,-0.0860,1.7298,2.5000,9.0820,2.0645,27.6459,0.7497,3.0000,0.0000,2.0000,0,23.6757,865.7603,777.9873,821.8738,-43.8865,11.5508,29.3993,847.9118,818.9374
4.337,0,0,heuristic,0.3849,0.5077,0.9751,0.7760,1.2017,1.4305,-0.0948,1.7322,2.5000,8.9964,2.0645,27.5728,0.7545,3.0000,0.0000,2.0000,0,23.6757,838.5115,856.8619,847.6867,9.1752,11.5508,29.6686,820.3936,898.0813
4.387,0,0,heuristic,0.4448,0.6015,0.9707,0.8513,1.3222,1.5726,-0.0890,1.7322,2.5000,8.9964,2.0645,27.5728,0.7570,3.0000,0.0000,2.0000,0,23.6757,863.4858,841.2749,852.3803,-11.1055,10.0160,29.7300,843.7718,881.0208
