t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.274,0,0,heuristic,0.0007,0.0014,0.9991,-0.0064,-0.0091,0.0111,-0.0200,1.6897,2.5000,-8.6692,1.3629,27.0048,0.6906,3.0000,0.0000,2.0000,0,16.3315,110.0000,110.0000,110.0000,0.0000,26.8796,17.0451,119.8345,153.9248
1.324,0,0,heuristic,0.0002,0.0004,0.9991,-0.0071,-0.0111,0.0132,-0.0040,1.6897,2.5000,-8.6689,1.3629,27.0057,0.6906,3.0000,0.0000,2.0000,0,16.3315,136.7603,220.0000,178.3801,41.6199,26.8576,16.8307,146.7872,263.6883
1.374,0,0,heuristic,0.0000,0.0000,0.9991,-0.0063,-0.0103,0.0121,0.0097,1.6897,2.5000,-8.6689,1.3629,27.0061,0.6906,3.0000,0.0000,2.0000,0,16.3315,99.7450,269.4330,184.5890,84.8440,26.8692,16.6466,109.9677,312.9488
1.424,0,0,heuristic,0.0000,0.0000,0.9991,-0.0063,-0.0103,0.0121,0.0227,1.6897,2.5000,-8.6689,1.3629,27.0061,0.6906,3.0000,0.0000,2.0000,0,16.3315,60.9372,319.6454,190.2913,129.3541,26.8692,16.4716,71.3348,362.9863
1.474,0,0,heuristic,0.0012,0.0016,0.9993,-0.0006,-0.0024,0.0024,0.0097,1.6898,2.5000,-8.6697,1.3629,27.0047,0.6905,3.0000,0.0000,2.0000,0,16.3315,8.6051,341.9101,175.2576,166.6525,26.9736,16.6422,18.9365,385.5259
1.524,0,0,heuristic,0.0041,0.0051,0.9996,0.0116,0.0128,0.0172,0.0243,1.6899,2.5000,-8.6718,1.3629,27.0015,0.6903,3.0000,0.0000,2.0000,0,16.3315,-96.6265,315.3739,109.3737,206.0002,26.8141,16.4418,-86.2543,358.6297
1.574,0,0,heuristic,0.0094,0.0111,1.0005,0.0298,0.0334,0.0447,0.0532,1.6901,2.5000,-8.6758,1.3629,26.9962,0.6896,3.0000,0.0000,2.0000,0,16.3315,-115.2202,369.0603,126.9200,242.1402,26.5170,16.0286,-104.7318,411.6059
1.625,0,0,heuristic,0.0167,0.0187,1.0019,0.0541,0.0585,0.0796,0.0575,1.6904,2.5000,-8.6813,1.3629,26.9895,0.6885,3.0000,0.0000,2.0000,0,16.3315,-36.2170,373.2087,168.4959,204.7128,26.1399,15.9374,-26.0144,415.2860
1.675,0,0,heuristic,0.0167,0.0187,1.0034,0.0541,0.0585,0.0796,0.0900,1.6904,2.5000,-8.6813,1.3629,26.9895,0.6870,3.0000,0.0000,2.0000,0,16.3315,-105.9238,483.2087,188.6424,294.5662,26.1399,15.4536,-95.2374,524.8022
1.724,0,0,heuristic,0.0268,0.0287,1.0078,0.0820,0.0852,0.1183,0.1278,1.6908,2.5000,-8.6891,1.3629,26.9808,0.6830,3.0000,0.0000,2.0000,0,16.3315,-96.4484,593.1723,248.3619,344.8104,25.7227,14.8226,-85.5483,633.7175
