t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.626,0,0,learned,-0.0039,-0.0273,0.9982,-0.0067,-0.0577,0.0581,0.0033,1.7158,2.5000,9.5629,2.0645,27.9870,0.7176,3.0000,0.0000,0.0000,0,0.0000,305.1174,239.4949,272.3061,-32.8113,6.4056,2.8933,308.6296,248.7938
1.638,0,0,learned,-0.0044,-0.0311,0.9982,-0.0074,-0.0608,0.0613,-0.0053,1.7158,2.5000,9.5651,2.0645,27.9907,0.7176,3.0000,0.0000,2.0000,0,23.6757,332.2222,260.7426,296.4824,-35.7398,6.3990,2.9014,335.7198,270.0430
1.685,0,0,learned,-0.0048,-0.0346,0.9981,-0.0077,-0.0632,0.0636,0.0123,1.7157,2.5000,9.5672,2.0645,27.9941,0.7176,3.0000,0.0000,2.0000,0,23.6757,429.2722,325.4791,377.3757,-51.8966,6.3931,2.8538,432.8115,334.7260
1.735,0,0,learned,-0.0048,-0.0346,0.9981,-0.0077,-0.0632,0.0636,-0.0118,1.7157,2.5000,9.5672,2.0645,27.9941,0.7177,3.0000,0.0000,2.0000,0,23.6757,425.4448,338.0404,381.7426,-43.7022,6.3931,2.8902,428.9477,347.3237
1.785,0,0,learned,-0.0043,-0.0362,0.9979,-0.0040,-0.0567,0.0568,-0.0230,1.7157,2.5000,9.5674,2.0645,27.9957,0.7178,3.0000,0.0000,2.0000,0,23.6757,502.2462,357.8284,430.0373,-72.2089,6.4049,2.8993,505.7519,367.1326
1.835,0,0,learned,-0.0015,-0.0342,0.9977,0.0084,-0.0368,0.0377,0.0005,1.7159,2.5000,9.5640,2.0645,27.9941,0.7181,3.0000,0.0000,2.0000,0,23.6757,531.2766,314.3926,422.8346,-108.4420,6.4379,2.8625,534.8520,323.6930
1.885,0,0,learned,0.0048,-0.0271,0.9972,0.0308,-0.0021,0.0308,-0.0240,1.7161,2.5000,9.5551,2.0645,27.9880,0.7189,3.0000,0.0000,2.0000,0,23.6757,584.5274,301.2524,442.8899,-141.6375,6.4420,2.8932,588.0761,310.5876
1.935,0,0,learned,0.0139,-0.0155,0.9968,0.0626,0.0466,0.0781,-0.0260,1.7165,2.5000,9.5416,2.0645,27.9779,0.7197,3.0000,0.0000,2.0000,0,23.6757,620.4393,386.7455,503.5924,-116.8469,6.3297,2.8653,623.9037,395.9405
1.985,0,0,learned,0.0139,-0.0155,0.9961,0.0626,0.0466,0.0781,-0.0460,1.7165,2.5000,9.5416,2.0645,27.9779,0.7204,3.0000,0.0000,2.0000,0,23.6757,603.7437,416.6171,510.1804,-93.5633,6.3289,2.8925,607.1801,425.8384
2.035,0,0,learned,0.0272,0.0026,0.9946,0.1012,0.1069,0.1472,-0.0590,1.7171,2.5000,9.5213,2.0645,27.9619,0.7224,3.0000,0.0000,2.0000,0,23.6757,531.7077,460.7875,496.2476,-35.4601,6.1687,2.8970,534.9794,469.8532
2.086,0,0,learned,0.0428,0.0252,0.9930,0.1461,0.1795,0.2315,-0.0628,1.7177,2.5000,9.4969,2.0645,27.9418,0.7247,3.0000,0.0000,2.0000,0,23.6757,610.5189,511.2679,560.8934,-49.6255,5.9756,2.8806,613.6139,520.1241
2.135,0,0,learned,0.0630,0.0557,0.9910,0.1946,0.2608,0.3255,-0.0870,1.7186,2.5000,9.4646,2.0645,27.9147,0.7276,3.0000,0.0000,2.0000,0,23.6757,718.8301,546.6644,632.7473,-86.0829,5.7618,2.9015,721.6905,555.3277
2.185,0,0,learned,0.0855,0.0903,0.9893,0.2494,0.3531,0.4323,-0.0777,1.7196,2.5000,9.4284,2.0645,27.8837,0.7303,3.0000,0.0000,2.0000,0,23.6757,790.8332,510.7531,650.7931,-140.0400,5.5206,2.8840,793.4698,519.1577
2.235,0,0,learned,0.1134,0.1337,0.9862,0.3068,0.4494,0.5441,-0.0955,1.7208,2.5000,9.3833,2.0645,27.8449,0.7346,3.0000,0.0000,2.0000,0,23.6757,880.0250,496.1063,688.0657,-191.9593,5.2681,2.9072,882.3860,504.2817
2.285,0,0,learned,0.1437,0.1813,0.9827,0.3717,0.5577,0.6703,-0.0853,1.7221,2.5000,9.3340,2.0645,27.8024,0.7394,3.0000,0.0000,2.0000,0,23.6757,870.7168,606.1063,738.4116,-132.3052,4.9755,2.8587,872.8337,613.9406
2.336,0,0,learned,0.1437,0.1813,0.9797,0.3717,0.5577,0.6703,-0.1145,1.7221,2.5000,9.3340,2.0645,27.8024,0.7424,3.0000,0.0000,2.0000,0,23.6757,895.3343,650.9917,773.1630,-122.1713,4.9733,2.9004,897.4071,658.8654
2.385,0,0,learned,0.1805,0.2394,0.9763,0.4389,0.6699,0.8008,-0.1232,1.7238,2.5000,9.2741,2.0645,27.7505,0.7475,3.0000,0.0000,2.0000,0,23.6757,873.0641,652.9008,762.9824,-110.0816,4.6757,2.9080,874.8318,660.4844
2.435,0,0,learned,0.2195,0.3015,0.9724,0.5134,0.7942,0.9458,-0.1153,1.7255,2.5000,9.2104,2.0645,27.6952,0.7531,3.0000,0.0000,2.0000,0,23.6757,895.4546,673.0254,784.2400,-111.2146,4.3451,2.8845,896.9153,680.2551
2.485,0,0,learned,0.2659,0.3752,0.9681,0.5894,0.9190,1.0917,-0.1227,1.7276,2.5000,9.1345,2.0645,27.6296,0.7595,3.0000,0.0000,2.0000,0,23.6757,930.5482,780.2792,855.4137,-75.1345,4.0079,2.8696,931.6865,787.1567
2.535,0,0,learned,0.3143,0.4515,0.9634,0.6732,1.0531,1.2499,-0.1573,1.7297,2.5000,9.0558,2.0645,27.5619,0.7663,3.0000,0.0000,2.0000,0,23.6757,839.3851,794.1989,816.7920,-22.5931,3.6463,2.9249,840.1065,800.7702
2.585,0,0,learned,0.3143,0.4515,0.9584,0.6732,1.0531,1.2499,-0.1603,1.7297,2.5000,9.0558,2.0645,27.5619,0.7713,3.0000,0.0000,2.0000,0,23.6757,828.5448,850.6169,839.5808,11.0361,3.6409,2.9240,829.2616,857.1818
2.635,0,0,learned,0.3703,0.5392,0.9518,0.7540,1.1799,1.4002,-0.1625,1.7323,2.5000,8.9649,2.0645,27.4842,0.7805,3.0000,0.0000,2.0000,0,23.6757,916.3884,878.9620,897.6752,-18.7132,3.2996,2.9216,916.7663,885.1832
2.685,0,0,learned,0.4273,0.6276,0.9477,0.8405,1.3123,1.5584,-0.1492,1.7348,2.5000,8.8728,2.0645,27.4062,0.7871,3.0000,0.0000,2.0000,0,23.6757,952.5776,907.5309,930.0542,-22.5233,2.9416,2.8938,952.6254,913.3663
2.735,0,0,learned,0.4917,0.7267,0.9423,0.9203,1.4309,1.7013,-0.1420,1.7377,2.5000,8.7691,2.0645,27.3191,0.7955,3.0000,0.0000,2.0000,0,23.6757,999.9099,896.3012,948.1056,-51.8044,2.6225,2.8859,999.6466,901.8096
2.785,0,0,learned,0.5559,0.8243,0.9370,1.0035,1.5514,1.8476,-0.1260,1.7407,2.5000,8.6664,2.0645,27.2336,0.8037,3.0000,0.0000,2.0000,0,23.6757,961.9543,900.6613,931.3078,-30.6465,2.2947,2.8645,961.3845,905.8205
