t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.446,0,0,learned,-0.0153,-0.0202,0.9967,-0.0178,-0.0235,0.0295,-0.0015,1.6929,2.5000,-17.8880,1.0058,28.2007,0.6962,3.0000,0.0000,0.0000,0,0.0000,141.4612,260.8712,201.1662,59.7050,1.9042,-7.6187,150.9841,255.1568
1.456,0,0,learned,-0.0162,-0.0218,0.9966,-0.0179,-0.0248,0.0306,-0.0010,1.6929,2.5000,-17.8880,1.0058,28.2021,0.6963,3.0000,0.0000,2.0000,0,14.1273,141.4612,260.8712,201.1662,59.7050,1.9035,-7.6193,150.9840,255.1555
1.500,0,0,learned,-0.0168,-0.0230,0.9965,-0.0168,-0.0248,0.0299,-0.0050,1.6929,2.5000,-17.8881,1.0058,28.2032,0.6964,3.0000,0.0000,2.0000,0,14.1273,109.1960,307.3983,208.2972,99.1012,1.9020,-7.6428,118.7408,301.6575
1.550,0,0,learned,-0.0168,-0.0230,0.9964,-0.0168,-0.0248,0.0299,-0.0065,1.6929,2.5000,-17.8881,1.0058,28.2032,0.6965,3.0000,0.0000,2.0000,0,14.1273,120.0506,362.8942,241.4724,121.4218,1.9129,-7.6786,129.6421,357.1285
1.600,0,0,learned,-0.0173,-0.0241,0.9962,-0.0152,-0.0241,0.0285,-0.0115,1.6928,2.5000,-17.8884,1.0058,28.2043,0.6966,3.0000,0.0000,2.0000,0,14.1273,9.0510,505.5939,257.3224,248.2715,1.9040,-7.7495,18.7045,499.7483
1.650,0,0,learned,-0.0177,-0.0251,0.9962,-0.0139,-0.0236,0.0274,0.0070,1.6928,2.5000,-17.8886,1.0058,28.2053,0.6966,3.0000,0.0000,2.0000,0,14.1273,-8.5843,553.6373,272.5265,281.1108,1.9050,-7.7825,1.1032,547.7598
1.700,0,0,learned,-0.0177,-0.0251,0.9960,-0.0139,-0.0236,0.0274,-0.0088,1.6928,2.5000,-17.8886,1.0058,28.2053,0.6968,3.0000,0.0000,2.0000,0,14.1273,13.3624,627.4402,320.4013,307.0389,1.9226,-7.8272,23.1121,621.5356
1.750,0,0,learned,-0.0182,-0.0263,0.9959,-0.0131,-0.0233,0.0267,-0.0037,1.6928,2.5000,-17.8888,1.0058,28.2063,0.6969,3.0000,0.0000,2.0000,0,14.1273,74.5009,737.4402,405.9705,331.4696,1.9544,-7.9060,84.3612,731.4886
1.800,0,0,learned,-0.0188,-0.0274,0.9958,-0.0128,-0.0233,0.0266,-0.0145,1.6928,2.5000,-17.8889,1.0058,28.2074,0.6970,3.0000,0.0000,2.0000,0,14.1273,-9.4733,784.6881,387.6074,397.0807,1.9390,-7.9201,0.3858,778.7070
1.850,0,0,learned,-0.0194,-0.0285,0.9956,-0.0127,-0.0228,0.0261,-0.0023,1.6927,2.5000,-17.8889,1.0058,28.2084,0.6971,3.0000,0.0000,2.0000,0,14.1273,-54.7879,758.7848,351.9984,406.7863,1.9224,-7.9007,-44.9648,752.8064
