t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.310,0,0,heuristic,0.0002,-0.0034,0.9937,-0.0027,-0.0129,0.0131,-0.0023,1.6891,2.5000,-8.6598,1.3629,27.0301,0.6954,3.0000,0.0000,2.0000,0,16.3315,110.0000,110.0000,110.0000,0.0000,26.8582,16.9559,119.9023,153.8141
2.359,0,0,heuristic,-0.0007,-0.0053,0.9936,-0.0056,-0.0173,0.0182,-0.0123,1.6890,2.5000,-8.6593,1.3629,27.0318,0.6954,3.0000,0.0000,2.0000,0,16.3315,136.7602,220.0000,178.3801,41.6199,26.8037,17.0920,146.4719,263.8957
2.410,0,0,heuristic,-0.0015,-0.0068,0.9935,-0.0074,-0.0201,0.0214,-0.0055,1.6890,2.5000,-8.6589,1.3629,27.0332,0.6955,3.0000,0.0000,2.0000,0,16.3315,99.7450,269.4330,184.5890,84.8440,26.7684,17.0031,109.5103,313.2045
2.459,0,0,heuristic,-0.0013,-0.0067,0.9934,-0.0052,-0.0158,0.0167,-0.0090,1.6890,2.5000,-8.6590,1.3629,27.0332,0.6956,3.0000,0.0000,2.0000,0,16.3315,60.9384,319.6543,190.2963,129.3580,26.8199,17.0541,70.7041,363.5283
2.509,0,0,heuristic,0.0010,-0.0042,0.9934,0.0051,-0.0022,0.0056,0.0235,1.6891,2.5000,-8.6607,1.3629,27.0309,0.6956,3.0000,0.0000,2.0000,0,16.3315,8.5869,341.9199,175.2534,166.6665,26.9401,16.6176,18.9093,385.4775
2.559,0,0,heuristic,0.0010,-0.0042,0.9937,0.0051,-0.0022,0.0056,0.0222,1.6891,2.5000,-8.6607,1.3629,27.0309,0.6954,3.0000,0.0000,2.0000,0,16.3315,-96.6437,315.2631,109.3097,205.9534,26.9401,16.6268,-86.3304,358.8299
2.609,0,0,heuristic,0.0061,0.0014,0.9942,0.0237,0.0196,0.0308,0.0222,1.6893,2.5000,-8.6646,1.3629,27.0260,0.6951,3.0000,0.0000,2.0000,0,16.3315,-115.2220,369.0846,126.9313,242.1533,26.6678,16.6189,-105.1732,412.3713
2.660,0,0,heuristic,0.0136,0.0090,0.9952,0.0502,0.0474,0.0691,0.0580,1.6896,2.5000,-8.6703,1.3629,27.0193,0.6944,3.0000,0.0000,2.0000,0,16.3315,-36.1691,372.7784,168.3046,204.4738,26.2541,16.1143,-26.0293,415.1468
2.710,0,0,heuristic,0.0136,0.0090,0.9970,0.0502,0.0474,0.0691,0.0873,1.6896,2.5000,-8.6703,1.3629,27.0193,0.6926,3.0000,0.0000,2.0000,0,16.3315,-105.5014,482.7784,188.6385,294.1399,26.2541,15.6664,-94.9137,524.6990
2.760,0,0,heuristic,0.0241,0.0191,0.9988,0.0808,0.0769,0.1115,0.1020,1.6900,2.5000,-8.6786,1.3629,27.0105,0.6912,3.0000,0.0000,2.0000,0,16.3315,-98.4041,592.7187,247.1573,345.5614,25.7953,15.4236,-88.0324,633.9376
2.810,0,0,heuristic,0.0362,0.0307,1.0020,0.1150,0.1100,0.1591,0.1273,1.6905,2.5000,-8.6880,1.3629,27.0004,0.6885,3.0000,0.0000,2.0000,0,16.3315,-146.0176,604.9981,229.4903,375.5079,25.2813,14.9998,-135.7361,645.2792
2.860,0,0,heuristic,0.0516,0.0456,1.0062,0.1513,0.1453,0.2098,0.1537,1.6912,2.5000,-8.7000,1.3629,26.9875,0.6850,3.0000,0.0000,2.0000,0,16.3315,-183.1171,670.4874,243.6851,426.8023,24.7346,14.5340,-172.9166,709.7560
2.910,0,0,heuristic,0.0516,0.0456,1.0114,0.1513,0.1453,0.2098,0.1968,1.6912,2.5000,-8.7000,1.3629,26.9875,0.6797,3.0000,0.0000,2.0000,0,16.3315,-153.2602,686.7737,266.7568,420.0169,24.7346,13.7927,-142.3183,725.3010
2.960,0,0,heuristic,0.0688,0.0623,1.0161,0.1927,0.1857,0.2677,0.2198,1.6919,2.5000,-8.7134,1.3629,26.9730,0.6758,3.0000,0.0000,2.0000,0,16.3315,-163.8638,781.4190,308.7776,472.6414,24.1092,13.3588,-153.1134,818.8870
3.009,0,0,heuristic,0.0902,0.0828,1.0257,0.2364,0.2275,0.3280,0.2715,1.6927,2.5000,-8.7301,1.3629,26.9552,0.6670,3.0000,0.0000,2.0000,0,16.3315,-228.4561,753.9072,262.7255,491.1817,23.4572,12.3909,-217.3898,789.7553
3.059,0,0,heuristic,0.1134,0.1049,1.0325,0.2856,0.2737,0.3956,0.2988,1.6937,2.5000,-8.7482,1.3629,26.9362,0.6612,3.0000,0.0000,2.0000,0,16.3315,-263.7570,806.1364,271.1897,534.9467,22.7276,11.8435,-252.8729,840.7075
3.110,0,0,heuristic,0.1416,0.1314,1.0456,0.3370,0.3210,0.4654,0.3570,1.6949,2.5000,-8.7703,1.3629,26.9134,0.6492,3.0000,0.0000,2.0000,0,16.3315,-205.5584,792.8295,293.6355,499.1940,21.9736,10.6858,-194.2706,825.4889
3.160,0,0,heuristic,0.1416,0.1314,1.0578,0.3370,0.3210,0.4654,0.3967,1.6949,2.5000,-8.7703,1.3629,26.9134,0.6371,3.0000,0.0000,2.0000,0,16.3315,-108.4110,849.9160,370.7525,479.1635,21.9736,9.7717,-96.2091,881.6613
3.210,0,0,heuristic,0.1715,0.1590,1.0679,0.3941,0.3720,0.5420,0.4258,1.6961,2.5000,-8.7939,1.3629,26.8896,0.6282,3.0000,0.0000,2.0000,0,16.3315,-81.6028,959.9160,439.1566,520.7594,21.1468,9.1056,-69.5616,990.1684
3.259,0,0,heuristic,0.2068,0.1915,1.0866,0.4511,0.4223,0.6179,0.4647,1.6975,2.5000,-8.8217,1.3629,26.8619,0.6109,3.0000,0.0000,2.0000,0,16.3315,-82.0861,970.5702,444.2420,526.3282,20.3262,8.0413,-69.8012,998.9377
3.309,0,0,heuristic,0.2433,0.2256,1.0988,0.5131,0.4801,0.7027,0.4577,1.6991,2.5000,-8.8504,1.3629,26.8327,0.6003,3.0000,0.0000,2.0000,0,16.3315,-89.5440,960.2751,435.3656,524.9096,19.4109,7.8024,-77.9355,987.4885
3.359,0,0,heuristic,0.2857,0.2665,1.1208,0.5736,0.5413,0.7887,0.5028,1.7008,2.5000,-8.8835,1.3629,26.7976,0.5800,3.0000,0.0000,2.0000,0,16.3315,20.4560,981.6762,501.0661,480.6101,18.4823,6.5646,32.3737,1000.0000
3.409,0,0,heuristic,0.2857,0.2665,1.1398,0.5736,0.5413,0.7887,0.5423,1.7008,2.5000,-8.8835,1.3629,26.7976,0.5610,3.0000,0.0000,2.0000,0,16.3315,70.8713,992.9614,531.9164,461.0450,18.4823,5.4425,83.9112,1000.0000
3.460,0,0,heuristic,0.3287,0.3094,1.1598,0.6378,0.6120,0.8839,0.5637,1.7026,2.5000,-8.9166,1.3629,26.7607,0.5428,3.0000,0.0000,2.0000,0,16.3315,77.8072,995.0943,536.4508,458.6436,17.4541,4.5828,90.6785,1000.0000
3.509,0,0,heuristic,0.3769,0.3602,1.1755,0.6956,0.6849,0.9762,0.5663,1.7047,2.5000,-8.9533,1.3629,26.7167,0.5292,3.0000,0.0000,2.0000,0,16.3315,134.2886,999.8503,567.0695,432.7809,16.4574,4.1248,146.6211,1000.0000
3.559,0,0,heuristic,0.4246,0.4132,1.2082,0.7553,0.7687,1.0777,0.5777,1.7067,2.5000,-8.9890,1.3629,26.6706,0.4985,3.0000,0.0000,2.0000,0,16.3315,67.4648,983.5373,525.5010,458.0363,15.3611,3.0123,79.8136,1000.0000
3.609,0,0,heuristic,0.4775,0.4751,1.2308,0.8080,0.8531,1.1750,0.5885,1.7090,2.5000,-9.0281,1.3629,26.6165,0.4782,3.0000,0.0000,2.0000,0,16.3315,155.2319,1000.0000,577.6159,422.3840,14.3101,2.2327,167.3093,1000.0000
3.660,0,0,heuristic,0.5295,0.5387,1.2540,0.8627,0.9474,1.2813,0.6013,1.7113,2.5000,-9.0658,1.3629,26.5608,0.4573,3.0000,0.0000,2.0000,0,16.3315,121.9604,992.4605,557.2105,435.2500,13.1614,1.4098,133.7121,1000.0000
3.710,0,0,heuristic,0.5295,0.5387,1.2717,0.8627,0.9474,1.2813,0.5837,1.7113,2.5000,-9.0658,1.3629,26.5608,0.4396,3.0000,0.0000,2.0000,0,16.3315,85.9839,1000.0000,542.9919,457.0081,13.1614,1.0920,98.0533,1000.0000
3.760,0,0,heuristic,0.5865,0.6118,1.3014,0.9097,1.0391,1.3810,0.5923,1.7138,2.5000,-9.1065,1.3629,26.4965,0.4123,3.0000,0.0000,2.0000,0,16.3315,117.5974,978.5321,548.0648,430.4674,12.0851,0.1267,129.5558,990.7440
3.810,0,0,heuristic,0.6419,0.6859,1.3257,0.9583,1.1400,1.4893,0.6132,1.7162,2.5000,-9.1454,1.3629,26.4311,0.3906,3.0000,0.0000,2.0000,0,16.3315,159.2250,937.2600,548.2425,389.0175,10.9157,-0.8348,170.9755,947.3409
3.860,0,0,heuristic,0.7019,0.7699,1.3502,0.9976,1.2351,1.5876,0.6132,1.7190,2.5000,-9.1868,1.3629,26.3568,0.3688,3.0000,0.0000,2.0000,0,16.3315,161.4039,999.9627,580.6833,419.2794,9.8534,-1.5154,172.7727,1000.0000
3.909,0,0,heuristic,0.7593,0.8537,1.3812,1.0371,1.3374,1.6924,0.6185,1.7216,2.5000,-9.2256,1.3629,26.2824,0.3404,3.0000,0.0000,2.0000,0,16.3315,134.8051,999.9999,567.4025,432.5974,8.7219,-2.4731,146.0001,1000.0000
3.960,0,0,heuristic,0.8204,0.9475,1.4062,1.0648,1.4307,1.7834,0.6210,1.7244,2.5000,-9.2661,1.3629,26.1990,0.3183,3.0000,0.0000,2.0000,0,16.3315,153.9130,996.2643,575.0887,421.1756,7.7390,-3.1965,164.8485,1000.0000
4.009,0,0,heuristic,0.8204,0.9475,1.4312,1.0648,1.4307,1.7834,0.6235,1.7244,2.5000,-9.2661,1.3629,26.1990,0.2932,3.0000,0.0000,2.0000,0,16.3315,91.4206,999.9325,545.6766,454.2559,7.7390,-4.0114,103.1711,1000.0000
4.060,0,0,heuristic,0.8780,1.0400,1.4500,1.0916,1.5300,1.8795,0.6258,1.7272,2.5000,-9.3033,1.3629,26.1164,0.2772,3.0000,0.0000,2.0000,0,16.3315,170.7696,998.3206,584.5451,413.7755,6.7011,-4.5431,182.0139,1000.0000
4.109,0,0,heuristic,0.9386,1.1422,1.4752,1.1065,1.6168,1.9592,0.6280,1.7301,2.5000,-9.3416,1.3629,26.0251,0.2548,3.0000,0.0000,2.0000,0,16.3315,178.2999,999.9994,589.1497,410.8498,5.8411,-5.2708,189.4118,1000.0000
4.159,0,0,heuristic,0.9952,1.2414,1.5006,1.1209,1.7068,2.0419,0.6305,1.7328,2.5000,-9.3764,1.3629,25.9362,0.2322,3.0000,0.0000,2.0000,0,16.3315,175.5397,991.9039,583.7218,408.1821,4.9475,-6.0114,186.4986,990.8400
4.210,0,0,heuristic,0.9952,1.2414,1.5199,1.1209,1.7068,2.0419,0.6328,1.7328,2.5000,-9.3764,1.3629,25.9362,0.2130,3.0000,0.0000,2.0000,0,16.3315,190.6200,998.8704,594.7452,404.1252,4.9475,-6.6412,202.2088,997.1767
4.259,0,0,heuristic,1.0543,1.3497,1.5518,1.1240,1.7822,2.1070,0.6355,1.7358,2.5000,-9.4119,1.3629,25.8389,0.1840,3.0000,0.0000,2.0000,0,16.3315,258.2549,996.5812,627.4181,369.1632,4.2440,-7.5828,270.0818,993.2424
4.309,0,0,heuristic,1.1090,1.4544,1.5646,1.1274,1.8621,2.1768,0.6512,1.7385,2.5000,-9.4439,1.3629,25.7447,0.1739,3.0000,0.0000,2.0000,0,16.3315,253.7760,999.6052,626.6906,372.9146,3.4901,-8.1086,265.3748,994.9867
4.359,0,0,heuristic,1.1090,1.4544,1.5903,1.1274,1.8621,2.1768,0.6238,1.7385,2.5000,-9.4439,1.3629,25.7447,0.1483,3.0000,0.0000,2.0000,0,16.3315,334.6092,999.8700,667.2396,332.6304,3.4901,-8.5396,346.6388,994.8206
4.409,0,0,heuristic,1.2184,1.6785,1.6286,1.1153,2.0012,2.2910,0.6440,1.7442,2.5000,-9.5047,1.3629,25.5425,0.1156,3.0000,0.0000,2.0000,0,16.3315,346.7740,981.6239,664.1989,317.4249,2.2577,-9.8327,358.8644,974.0489
4.460,0,0,heuristic,1.2184,1.6785,1.6414,1.1153,2.0012,2.2910,0.6013,1.7442,2.5000,-9.5047,1.3629,25.5425,0.1028,3.0000,0.0000,2.0000,0,16.3315,349.5743,985.7000,667.6371,318.0628,2.2577,-9.6558,361.4878,978.3019
4.510,0,0,heuristic,1.2724,1.7985,1.6731,1.1001,2.0626,2.3376,0.5973,1.7471,2.5000,-9.5328,1.3629,25.4337,0.0740,3.0000,0.0000,2.0000,0,16.3315,331.7576,976.4480,654.1028,322.3452,1.7543,-10.5023,344.0141,967.6999
4.560,0,0,heuristic,1.3216,1.9147,1.6919,1.0850,2.1341,2.3941,0.6112,1.7498,2.5000,-9.5569,1.3629,25.3280,0.0579,3.0000,0.0000,2.0000,0,16.3315,441.7576,997.1509,719.4542,277.6966,1.1439,-11.1910,454.0925,987.1038
4.610,0,0,heuristic,1.3216,1.9147,1.7107,1.0850,2.1341,2.3941,0.5988,1.7498,2.5000,-9.5569,1.3629,25.3280,0.0392,3.0000,0.0000,2.0000,0,16.3315,457.0672,997.7001,727.3836,270.3165,1.1439,-11.6084,469.8195,987.2356
4.660,0,0,heuristic,1.3717,2.0412,1.7414,1.0604,2.1940,2.4368,0.5907,1.7527,2.5000,-9.5798,1.3629,25.2125,0.0113,3.0000,0.0000,2.0000,0,16.3315,490.1173,999.5595,744.8384,254.7211,0.6824,-12.3708,503.1705,987.8711
4.710,0,0,heuristic,1.4165,2.1638,1.7536,1.0350,2.2659,2.4911,0.5797,1.7553,2.5000,-9.5983,1.3629,25.1002,0.0018,3.0000,0.0000,2.0000,0,16.3315,454.0217,999.5128,726.7672,272.7456,0.0964,-12.5208,466.6389,987.0883
4.760,0,0,heuristic,1.4609,2.2977,1.7837,0.9991,2.3278,2.5331,0.5647,1.7581,2.5000,-9.6142,1.3629,24.9768,-0.0256,3.0000,0.0000,2.0000,0,16.3315,465.1334,999.9051,732.5192,267.3858,-0.3576,-13.1740,477.9497,986.3735
4.809,0,0,heuristic,1.4999,2.4274,1.8130,0.9615,2.4024,2.5877,0.5595,1.7606,2.5000,-9.6256,1.3629,24.8567,-0.0525,3.0000,0.0000,2.0000,0,16.3315,442.6917,995.3466,719.0192,276.3274,-0.9467,-13.9414,455.6864,980.4585
4.860,0,0,heuristic,1.4999,2.4274,1.8247,0.9615,2.4024,2.5877,0.5440,1.7606,2.5000,-9.6256,1.3629,24.8567,-0.0641,3.0000,0.0000,2.0000,0,16.3315,476.9188,992.0858,734.5023,257.5835,-0.9467,-14.0953,490.0674,977.0437
4.910,0,0,heuristic,1.5379,2.5683,1.8476,0.9153,2.4640,2.6285,0.5547,1.7631,2.5000,-9.6336,1.3629,24.7256,-0.0845,3.0000,0.0000,2.0000,0,16.3315,496.3309,999.6549,747.9929,251.6620,-1.3874,-14.8757,509.8192,983.3918
4.960,0,0,heuristic,1.5706,2.7039,1.8703,0.8685,2.5361,2.6807,0.5353,1.7655,2.5000,-9.6376,1.3629,24.5988,-0.1048,3.0000,0.0000,2.0000,0,16.3315,516.8495,998.8049,757.8272,240.9777,-1.9515,-15.2466,530.1447,981.6067
5.009,0,0,heuristic,1.5706,2.7039,1.8926,0.8685,2.5361,2.6807,0.5278,1.7655,2.5000,-9.6376,1.3629,24.5988,-0.1271,3.0000,0.0000,2.0000,0,16.3315,568.0791,996.7843,782.4317,214.3526,-1.9515,-15.8430,581.9706,978.9897
5.060,0,0,heuristic,1.6017,2.8506,1.9147,0.8147,2.5932,2.7181,0.5198,1.7679,2.5000,-9.6379,1.3629,24.4610,-0.1467,3.0000,0.0000,2.0000,0,16.3315,557.8646,999.9464,778.9055,221.0409,-2.3557,-16.3480,571.8569,981.2426
5.110,0,0,heuristic,1.6278,2.9913,1.9364,0.7603,2.6610,2.7674,0.5265,1.7701,2.5000,-9.6343,1.3629,24.3281,-0.1663,3.0000,0.0000,2.0000,0,16.3315,476.5089,998.9121,737.7105,261.2016,-2.8884,-17.0487,490.6693,978.9750
5.159,0,0,heuristic,1.6516,3.1432,1.9578,0.6998,2.7128,2.8016,0.5130,1.7723,2.5000,-9.6263,1.3629,24.1840,-0.1855,3.0000,0.0000,2.0000,0,16.3315,579.8018,996.5860,788.1939,208.3921,-3.2578,-17.4660,594.0100,975.8622
5.209,0,0,heuristic,1.6705,3.2884,1.9788,0.6387,2.7751,2.8477,0.4988,1.7743,2.5000,-9.6148,1.3629,24.0457,-0.2046,3.0000,0.0000,2.0000,0,16.3315,633.5542,999.6555,816.6049,183.0506,-3.7547,-17.8696,647.6692,978.0312
5.260,0,0,heuristic,1.6705,3.2884,1.9996,0.6387,2.7751,2.8477,0.4885,1.7743,2.5000,-9.6148,1.3629,24.0457,-0.2253,3.0000,0.0000,2.0000,0,16.3315,661.8700,996.4266,829.1483,167.2783,-3.7547,-18.3797,676.4951,974.2923
5.310,0,0,heuristic,1.6869,3.4441,2.0252,0.5738,2.8190,2.8768,0.4810,1.7763,2.5000,-9.5987,1.3629,23.8965,-0.2489,3.0000,0.0000,2.0000,0,16.3315,602.9965,997.5596,800.2780,197.2816,-4.0696,-19.0150,617.9418,974.4750
5.359,0,0,heuristic,1.6986,3.5924,2.0402,0.5079,2.8730,2.9176,0.4650,1.7780,2.5000,-9.5795,1.3629,23.7538,-0.2622,3.0000,0.0000,2.0000,0,16.3315,710.4945,999.5595,855.0270,144.5325,-4.5097,-19.2127,725.1975,975.8371
5.409,0,0,heuristic,1.7068,3.7512,2.0599,0.4379,2.9093,2.9420,0.4670,1.7798,2.5000,-9.5548,1.3629,23.6001,-0.2802,3.0000,0.0000,2.0000,0,16.3315,662.7501,999.8295,831.2898,168.5397,-4.7740,-19.8014,677.7775,975.2541
5.459,0,0,heuristic,1.7108,3.9019,2.0793,0.3670,2.9553,2.9780,0.4540,1.7813,2.5000,-9.5276,1.3629,23.4535,-0.2981,3.0000,0.0000,2.0000,0,16.3315,733.4782,998.4074,865.9428,132.4646,-5.1626,-20.1842,748.4998,973.0605
5.510,0,0,heuristic,1.7108,3.9019,2.0983,0.3670,2.9553,2.9780,0.4655,1.7813,2.5000,-9.5276,1.3629,23.4535,-0.3171,3.0000,0.0000,2.0000,0,16.3315,696.8865,999.1617,848.0241,151.1376,-5.1626,-20.9318,712.6556,973.0673
5.559,0,0,heuristic,1.7108,4.0628,2.1216,0.2936,2.9832,2.9976,0.4373,1.7827,2.5000,-9.4944,1.3629,23.2962,-0.3389,3.0000,0.0000,2.0000,0,16.3315,652.5554,994.0089,823.2821,170.7268,-5.3740,-21.2328,668.4142,967.4021
5.609,0,0,heuristic,1.7069,4.2153,2.1397,0.2186,3.0221,3.0299,0.4285,1.7839,2.5000,-9.4591,1.3629,23.1463,-0.3558,3.0000,0.0000,2.0000,0,16.3315,710.4883,999.0955,854.7919,144.3036,-5.7234,-21.6417,726.4065,971.7304
5.659,0,0,heuristic,1.6985,4.3780,2.1574,0.1424,3.0431,3.0465,0.4052,1.7851,2.5000,-9.4173,1.3629,22.9855,-0.3724,3.0000,0.0000,2.0000,0,16.3315,781.3353,998.7256,890.0305,108.6951,-5.9019,-21.8460,797.2794,970.9777
5.710,0,0,heuristic,1.6869,4.5317,2.1748,0.0656,3.0751,3.0758,0.3915,1.7860,2.5000,-9.3742,1.3629,22.8328,-0.3888,3.0000,0.0000,2.0000,0,16.3315,797.3965,998.7409,898.0687,100.6722,-6.2187,-22.1735,813.3513,970.3486
5.759,0,0,heuristic,1.6704,4.6953,2.1960,-0.0108,3.0895,3.0895,0.3927,1.7868,2.5000,-9.3243,1.3629,22.6695,-0.4092,3.0000,0.0000,2.0000,0,16.3315,848.0177,998.1083,923.0630,75.0453,-6.3668,-22.8251,864.4760,968.9164
5.809,0,0,heuristic,1.6508,4.8502,2.2126,-0.0903,3.1170,3.1183,0.3965,1.7875,2.5000,-9.2732,1.3629,22.5140,-0.4251,3.0000,0.0000,2.0000,0,16.3315,817.3666,997.1044,907.2355,89.8689,-6.6772,-23.3725,834.0618,967.0547
5.859,0,0,heuristic,1.6508,4.8502,2.2287,-0.0903,3.1170,3.1183,0.3653,1.7875,2.5000,-9.2732,1.3629,22.5140,-0.4413,3.0000,0.0000,2.0000,0,16.3315,828.1571,999.2697,913.7134,85.5563,-6.6772,-23.4563,844.9361,969.1362
5.910,0,0,heuristic,1.6253,5.0153,2.2483,-0.1704,3.1283,3.1329,0.3425,1.7879,2.5000,-9.2142,1.3629,22.3473,-0.4604,3.0000,0.0000,2.0000,0,16.3315,796.2132,999.2746,897.7439,101.5307,-6.8356,-23.7456,813.1231,968.6934
5.960,0,0,heuristic,1.5969,5.1713,2.2596,-0.2544,3.1528,3.1631,0.3405,1.7882,2.5000,-9.1542,1.3629,22.1888,-0.4714,3.0000,0.0000,2.0000,0,16.3315,903.1851,998.6960,950.9405,47.7555,-7.1614,-24.0628,920.0864,967.4719
6.009,0,0,heuristic,1.5623,5.3371,2.2780,-0.3369,3.1601,3.1780,0.3252,1.7883,2.5000,-9.0861,1.3629,22.0194,-0.4898,3.0000,0.0000,2.0000,0,16.3315,918.3631,999.4184,958.8907,40.5276,-7.3228,-24.4294,935.4697,967.6662
