t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.292,0,0,learned,-0.0042,-0.0309,0.9975,-0.0127,-0.0755,0.0766,-0.0125,1.6929,2.5000,-17.9452,1.0058,28.2906,0.6954,3.0000,0.0000,2.0000,0,14.1273,110.0000,110.0000,110.0000,0.0000,1.8375,-7.5342,119.3717,104.3033
2.300,0,0,learned,-0.0050,-0.0358,0.9975,-0.0134,-0.0795,0.0806,0.0095,1.6929,2.5000,-17.9471,1.0058,28.2954,0.6954,3.0000,0.0000,2.0000,0,14.1273,168.4132,220.0000,194.2066,25.7934,1.8641,-7.6199,177.8972,214.2442
2.347,0,0,learned,-0.0054,-0.0400,0.9974,-0.0124,-0.0809,0.0819,-0.0033,1.6928,2.5000,-17.9490,1.0058,28.2995,0.6954,3.0000,0.0000,2.0000,0,14.1273,141.4593,260.8722,201.1657,59.7064,1.8624,-7.6386,150.9603,255.0960
2.397,0,0,learned,-0.0054,-0.0400,0.9974,-0.0124,-0.0809,0.0819,-0.0035,1.6928,2.5000,-17.9490,1.0058,28.2995,0.6954,3.0000,0.0000,2.0000,0,14.1273,109.1998,307.3897,208.2947,99.0950,1.8601,-7.6624,118.7223,301.5874
2.447,0,0,learned,-0.0050,-0.0428,0.9974,-0.0083,-0.0754,0.0758,-0.0070,1.6929,2.5000,-17.9508,1.0058,28.3023,0.6954,3.0000,0.0000,2.0000,0,14.1273,120.0704,362.8840,241.4772,121.4068,1.8742,-7.6979,129.6426,357.0604
2.497,0,0,learned,-0.0029,-0.0430,0.9976,0.0022,-0.0612,0.0612,0.0077,1.6929,2.5000,-17.9527,1.0058,28.3027,0.6953,3.0000,0.0000,2.0000,0,14.1273,29.3689,469.4025,249.3857,220.0168,1.8707,-7.7540,38.9935,463.5192
2.547,0,0,learned,0.0017,-0.0405,0.9979,0.0191,-0.0394,0.0438,0.0218,1.6931,2.5000,-17.9552,1.0058,28.3008,0.6951,3.0000,0.0000,2.0000,0,14.1273,9.0741,505.6236,257.3488,248.2748,1.8756,-7.7761,18.7258,499.7232
2.597,0,0,learned,0.0083,-0.0356,0.9986,0.0428,-0.0112,0.0443,0.0595,1.6933,2.5000,-17.9582,1.0058,28.2968,0.6947,3.0000,0.0000,2.0000,0,14.1273,-8.5841,553.6644,272.5402,281.1243,1.8606,-7.8094,1.0859,547.7155
2.647,0,0,learned,0.0182,-0.0275,1.0003,0.0724,0.0220,0.0757,0.0755,1.6937,2.5000,-17.9623,1.0058,28.2900,0.6934,3.0000,0.0000,2.0000,0,14.1273,13.3443,627.4676,320.4059,307.0617,1.8293,-7.8543,23.0279,621.4427
2.697,0,0,learned,0.0182,-0.0275,1.0024,0.0724,0.0220,0.0757,0.0927,1.6937,2.5000,-17.9623,1.0058,28.2900,0.6913,3.0000,0.0000,2.0000,0,14.1273,74.8281,737.4676,406.1479,331.3197,1.8596,-7.9398,84.6276,731.3874
2.747,0,0,learned,0.0303,-0.0172,1.0055,0.1086,0.0606,0.1243,0.1247,1.6942,2.5000,-17.9670,1.0058,28.2813,0.6887,3.0000,0.0000,2.0000,0,14.1273,-9.3719,786.6730,388.6505,398.0224,1.7759,-7.9569,0.3609,780.4920
2.797,0,0,learned,0.0465,-0.0028,1.0106,0.1490,0.1039,0.1817,0.1580,1.6948,2.5000,-17.9729,1.0058,28.2690,0.6842,3.0000,0.0000,2.0000,0,14.1273,-58.9398,762.0265,351.5434,410.4831,1.6814,-7.9309,-49.3275,755.7770
2.847,0,0,learned,0.0652,0.0148,1.0146,0.1972,0.1567,0.2519,0.1918,1.6956,2.5000,-17.9793,1.0058,28.2538,0.6810,3.0000,0.0000,2.0000,0,14.1273,2.4119,786.8436,394.6277,392.2159,1.6082,-7.9464,11.9665,780.5055
2.896,0,0,learned,0.0895,0.0382,1.0226,0.2511,0.2154,0.3308,0.2295,1.6965,2.5000,-17.9873,1.0058,28.2336,0.6740,3.0000,0.0000,2.0000,0,14.1273,55.8055,791.4286,423.6170,367.8116,1.5199,-7.9481,65.2735,785.0004
2.947,0,0,learned,0.1161,0.0644,1.0304,0.3120,0.2813,0.4201,0.2548,1.6976,2.5000,-17.9958,1.0058,28.2110,0.6672,3.0000,0.0000,2.0000,0,14.1273,13.2274,776.9236,395.0755,381.8481,1.3936,-7.9106,22.5315,770.4066
3.001,0,0,learned,0.1161,0.0644,1.0395,0.3120,0.2813,0.4201,0.2920,1.6976,2.5000,-17.9958,1.0058,28.2110,0.6581,3.0000,0.0000,2.0000,0,14.1273,42.3626,805.0096,423.6861,381.3235,1.4009,-7.9585,51.7220,798.4520
3.047,0,0,learned,0.1484,0.0971,1.0525,0.3738,0.3509,0.5127,0.3297,1.6989,2.5000,-18.0055,1.0058,28.1826,0.6463,3.0000,0.0000,2.0000,0,14.1273,72.8095,725.5470,399.1782,326.3687,1.2815,-7.8943,81.9853,718.9342
3.100,0,0,learned,0.1826,0.1324,1.0642,0.4412,0.4279,0.6146,0.3402,1.7002,2.5000,-18.0154,1.0058,28.1520,0.6360,3.0000,0.0000,2.0000,0,14.1273,136.8754,777.7144,457.2949,320.4195,1.1823,-7.9033,145.9610,770.9934
3.147,0,0,learned,0.2225,0.1746,1.0768,0.5066,0.5044,0.7149,0.3640,1.7018,2.5000,-18.0266,1.0058,28.1154,0.6250,3.0000,0.0000,2.0000,0,14.1273,149.4778,887.7144,518.5961,369.1183,1.0805,-7.9440,158.5024,880.8509
