t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
1.292,0,0,heuristic,0.0001,-0.0035,0.9984,0.0080,0.0065,0.0103,-0.0065,1.6935,2.5000,-17.8916,1.0058,28.1877,0.6950,3.0000,0.0000,2.0000,0,14.1273,110.0000,110.0000,110.0000,0.0000,33.6107,21.2167,122.3941,164.8274
1.342,0,0,heuristic,0.0000,-0.0039,0.9984,0.0061,0.0032,0.0069,0.0045,1.6935,2.5000,-17.8919,1.0058,28.1876,0.6951,3.0000,0.0000,2.0000,0,14.1273,168.4120,220.0000,194.2060,25.7940,33.6570,21.0334,181.0357,274.6904
1.392,0,0,heuristic,-0.0001,-0.0040,0.9984,0.0043,0.0022,0.0048,0.0095,1.6935,2.5000,-17.8921,1.0058,28.1881,0.6951,3.0000,0.0000,2.0000,0,14.1273,141.4608,260.8715,201.1661,59.7054,33.6849,20.9494,154.1963,315.5058
1.442,0,0,heuristic,0.0009,-0.0025,0.9985,0.0077,0.0081,0.0111,0.0208,1.6935,2.5000,-17.8920,1.0058,28.1881,0.6951,3.0000,0.0000,2.0000,0,14.1273,109.1984,307.4016,208.3000,99.1016,33.5996,20.7553,122.0428,361.7565
1.492,0,0,heuristic,0.0041,0.0016,0.9989,0.0184,0.0222,0.0288,0.0253,1.6935,2.5000,-17.8921,1.0058,28.1868,0.6950,3.0000,0.0000,2.0000,0,14.1273,120.0473,362.8974,241.4723,121.4251,33.3611,20.6655,132.7428,416.9240
1.542,0,0,heuristic,0.0095,0.0082,0.9996,0.0373,0.0452,0.0586,0.0370,1.6936,2.5000,-17.8925,1.0058,28.1831,0.6947,3.0000,0.0000,2.0000,0,14.1273,29.3523,469.4017,249.3770,220.0247,32.9585,20.4469,41.8639,522.8070
1.592,0,0,heuristic,0.0185,0.0188,1.0010,0.0645,0.0772,0.1006,0.0795,1.6939,2.5000,-17.8936,1.0058,28.1772,0.6943,3.0000,0.0000,2.0000,0,14.1273,9.3810,505.9092,257.6451,248.2641,32.3925,19.6847,22.0888,557.9865
1.642,0,0,heuristic,0.0304,0.0325,1.0035,0.1011,0.1188,0.1561,0.0932,1.6942,2.5000,-17.8955,1.0058,28.1678,0.6932,3.0000,0.0000,2.0000,0,14.1273,-8.5544,553.6808,272.5632,281.1176,31.6432,19.3737,3.7151,604.6978
1.692,0,0,heuristic,0.0469,0.0513,1.0072,0.1445,0.1673,0.2211,0.1270,1.6947,2.5000,-17.8982,1.0058,28.1556,0.6913,3.0000,0.0000,2.0000,0,14.1273,12.9009,627.6381,320.2695,307.3686,30.7655,18.6798,24.9866,677.0834
1.742,0,0,heuristic,0.0469,0.0513,1.0113,0.1445,0.1673,0.2211,0.1675,1.6954,2.5000,-17.9021,1.0058,28.1390,0.6882,3.0000,0.0000,2.0000,0,14.1273,74.7141,737.6381,406.1761,331.4620,30.7655,17.8669,87.6127,786.2705
