t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.326,0,1,heuristic,-0.0006,-0.0006,1.0000,0.0012,0.0021,0.0024,-0.0033,1.6898,2.5000,-8.6682,1.3629,27.0005,0.6897,3.0000,0.0000,2.0000,0,16.3315,110.0000,110.0000,110.0000,0.0000,0.0000,0.0000,110.0000,110.0000
2.376,0,1,heuristic,-0.0009,-0.0009,1.0000,0.0001,0.0003,0.0003,0.0050,1.6897,2.5000,-8.6680,1.3629,27.0008,0.6897,3.0000,0.0000,2.0000,0,16.3315,136.7603,220.0000,178.3802,41.6198,0.0000,0.0000,136.7603,220.0000
2.427,0,1,heuristic,-0.0010,-0.0011,1.0000,-0.0006,-0.0005,0.0007,0.0095,1.6897,2.5000,-8.6679,1.3629,27.0010,0.6897,3.0000,0.0000,2.0000,0,16.3315,99.7450,269.4330,184.5890,84.8440,0.0000,0.0000,99.7450,269.4330
2.476,0,1,heuristic,-0.0006,-0.0002,1.0000,0.0013,0.0034,0.0036,-0.0095,1.6898,2.5000,-8.6681,1.3629,27.0001,0.6897,3.0000,0.0000,2.0000,0,16.3315,60.9376,319.6463,190.2920,129.3543,0.0000,0.0000,60.9376,319.6463
2.526,0,1,heuristic,-0.0006,-0.0002,1.0000,0.0013,0.0034,0.0036,-0.0008,1.6898,2.5000,-8.6681,1.3629,27.0001,0.6897,3.0000,0.0000,2.0000,0,16.3315,8.6042,341.9111,175.2577,166.6535,0.0000,0.0000,8.6042,341.9111
2.577,0,1,heuristic,0.0014,0.0026,1.0002,0.0087,0.0136,0.0161,0.0037,1.6898,2.5000,-8.6695,1.3629,26.9976,0.6897,3.0000,0.0000,2.0000,0,16.3315,-96.6268,315.3725,109.3728,205.9996,0.0000,0.0000,-96.6268,315.3725
2.626,0,1,heuristic,0.0052,0.0072,1.0005,0.0227,0.0300,0.0376,0.0260,1.6900,2.5000,-8.6723,1.3629,26.9935,0.6895,3.0000,0.0000,2.0000,0,16.3315,-115.2220,369.0597,126.9188,242.1408,0.0000,0.0000,-115.2220,369.0597
2.676,0,1,heuristic,0.0052,0.0072,1.0013,0.0227,0.0300,0.0376,0.0410,1.6900,2.5000,-8.6723,1.3629,26.9935,0.6887,3.0000,0.0000,2.0000,0,16.3315,-36.2198,373.1197,168.4500,204.6697,0.0000,0.0000,-36.2198,373.1197
2.727,0,1,heuristic,0.0193,0.0219,1.0035,0.0665,0.0728,0.0986,0.0762,1.6906,2.5000,-8.6831,1.3629,26.9806,0.6871,3.0000,0.0000,2.0000,0,16.3315,-105.8246,483.1197,188.6475,294.4722,0.0000,0.0000,-105.8246,483.1197
2.776,0,1,heuristic,0.0193,0.0219,1.0059,0.0665,0.0728,0.0986,0.1033,1.6906,2.5000,-8.6831,1.3629,26.9806,0.6847,3.0000,0.0000,2.0000,0,16.3315,-97.1035,593.0750,247.9857,345.0892,0.0000,0.0000,-97.1035,593.0750
2.827,0,1,heuristic,0.0409,0.0432,1.0109,0.1216,0.1247,0.1742,0.1150,1.6915,2.5000,-8.6998,1.3629,26.9620,0.6806,3.0000,0.0000,2.0000,0,16.3315,-144.3109,607.2479,231.4685,375.7794,0.0000,0.0000,-144.3109,607.2479
