t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.240,0,1,heuristic,0.0074,-0.0393,1.0221,0.0185,-0.0866,0.0885,0.0200,1.6950,2.5000,-18.0226,1.0058,28.3409,0.6734,3.0000,0.0000,2.0000,0,14.1273,110.0000,110.0000,110.0000,0.0000,0.0000,0.0000,110.0000,110.0000
2.290,0,1,heuristic,0.0093,-0.0436,1.0225,0.0225,-0.0872,0.0900,0.0278,1.6951,2.5000,-18.0267,1.0058,28.3460,0.6730,3.0000,0.0000,2.0000,0,14.1273,168.4372,220.0000,194.2186,25.7814,0.0000,0.0000,168.4372,220.0000
2.340,0,1,heuristic,0.0093,-0.0436,1.0229,0.0225,-0.0872,0.0900,0.0180,1.6951,2.5000,-18.0306,1.0058,28.3505,0.6726,3.0000,0.0000,2.0000,0,14.1273,141.4308,260.8862,201.1585,59.7277,0.0000,0.0000,141.4308,260.8862
2.391,0,1,heuristic,0.0116,-0.0472,1.0233,0.0268,-0.0835,0.0877,0.0143,1.6951,2.5000,-18.0306,1.0058,28.3505,0.6722,3.0000,0.0000,2.0000,0,14.1273,109.2839,307.3664,208.3252,99.0412,0.0000,0.0000,109.2839,307.3664
2.440,0,1,heuristic,0.0149,-0.0489,1.0239,0.0353,-0.0738,0.0818,0.0253,1.6952,2.5000,-18.0344,1.0058,28.3543,0.6719,3.0000,0.0000,2.0000,0,14.1273,120.2026,362.8453,241.5240,121.3214,0.0000,0.0000,120.2026,362.8453
2.490,0,1,heuristic,0.0202,-0.0486,1.0246,0.0485,-0.0579,0.0755,0.0380,1.6953,2.5000,-18.0381,1.0058,28.3564,0.6714,3.0000,0.0000,2.0000,0,14.1273,29.4588,469.3968,249.4278,219.9690,0.0000,0.0000,29.4588,469.3968
2.540,0,1,heuristic,0.0269,-0.0462,1.0252,0.0670,-0.0366,0.0764,0.0498,1.6955,2.5000,-18.0424,1.0058,28.3567,0.6709,3.0000,0.0000,2.0000,0,14.1273,10.0385,506.6842,258.3613,248.3229,0.0000,0.0000,10.0385,506.6842
2.590,0,1,heuristic,0.0366,-0.0412,1.0269,0.0908,-0.0099,0.0914,0.0808,1.6957,2.5000,-18.0469,1.0058,28.3553,0.6705,3.0000,0.0000,2.0000,0,14.1273,-8.5236,553.9723,272.7243,281.2480,0.0000,0.0000,-8.5236,553.9723
2.640,0,1,heuristic,0.0483,-0.0338,1.0296,0.1215,0.0229,0.1236,0.0975,1.6961,2.5000,-18.0524,1.0058,28.3515,0.6691,3.0000,0.0000,2.0000,0,14.1273,11.9338,628.1746,320.0542,308.1204,0.0000,0.0000,11.9338,628.1746
2.690,0,1,heuristic,0.0483,-0.0338,1.0327,0.1215,0.0229,0.1236,0.1155,1.6965,2.5000,-18.0583,1.0058,28.3456,0.6669,3.0000,0.0000,2.0000,0,14.1273,74.3242,738.1746,406.2494,331.9252,0.0000,0.0000,74.3242,738.1746
2.740,0,1,heuristic,0.0639,-0.0226,1.0367,0.1569,0.0613,0.1685,0.1630,1.6965,2.5000,-18.0583,1.0058,28.3456,0.6638,3.0000,0.0000,2.0000,0,14.1273,-8.8745,787.4423,389.2839,398.1584,0.0000,0.0000,-8.8745,787.4423
2.790,0,1,heuristic,0.0815,-0.0084,1.0418,0.1991,0.1085,0.2268,0.1988,1.6971,2.5000,-18.0654,1.0058,28.3365,0.6604,3.0000,0.0000,2.0000,0,14.1273,-60.5988,762.8960,351.1486,411.7474,0.0000,0.0000,-60.5988,762.8960
2.840,0,1,heuristic,0.1043,0.0117,1.0480,0.2468,0.1639,0.2963,0.2205,1.6978,2.5000,-18.0727,1.0058,28.3246,0.6560,3.0000,0.0000,2.0000,0,14.1273,2.4264,790.3526,396.3895,393.9631,0.0000,0.0000,2.4264,790.3526
2.890,0,1,heuristic,0.1297,0.0350,1.0576,0.3032,0.2283,0.3796,0.2878,1.6987,2.5000,-18.0812,1.0058,28.3076,0.6506,3.0000,0.0000,2.0000,0,14.1273,54.7018,792.3691,423.5355,368.8336,0.0000,0.0000,54.7018,792.3691
2.940,0,1,heuristic,0.1606,0.0645,1.0691,0.3614,0.2961,0.4672,0.3225,1.6997,2.5000,-18.0901,1.0058,28.2877,0.6421,3.0000,0.0000,2.0000,0,14.1273,16.2550,760.8203,388.5377,372.2826,0.0000,0.0000,16.2550,760.8203
2.990,0,1,heuristic,0.1931,0.0968,1.0797,0.4249,0.3715,0.5644,0.3227,1.7009,2.5000,-18.1004,1.0058,28.2624,0.6318,3.0000,0.0000,2.0000,0,14.1273,55.5301,789.1227,422.3264,366.7963,0.0000,0.0000,55.5301,789.1227
3.040,0,1,heuristic,0.2314,0.1357,1.0946,0.4871,0.4469,0.6610,0.3635,1.7022,2.5000,-18.1107,1.0058,28.2346,0.6225,3.0000,0.0000,2.0000,0,14.1273,84.8240,717.0049,400.9145,316.0904,0.0000,0.0000,84.8240,717.0049
3.090,0,1,heuristic,0.2705,0.1764,1.1110,0.5523,0.5268,0.7633,0.3912,1.7037,2.5000,-18.1221,1.0058,28.2011,0.6091,3.0000,0.0000,2.0000,0,14.1273,150.0100,776.9633,463.4867,313.4767,0.0000,0.0000,150.0100,776.9633
3.140,0,1,heuristic,0.2705,0.1764,1.1252,0.5523,0.5268,0.7633,0.3990,1.7053,2.5000,-18.1334,1.0058,28.1660,0.5943,3.0000,0.0000,2.0000,0,14.1273,160.6870,886.9633,523.8252,363.1381,0.0000,0.0000,160.6870,886.9633
3.190,0,1,heuristic,0.3147,0.2237,1.1440,0.6122,0.6035,0.8596,0.4037,1.7053,2.5000,-18.1334,1.0058,28.1660,0.5801,3.0000,0.0000,2.0000,0,14.1273,97.8257,993.9725,545.8991,448.0734,0.0000,0.0000,97.8257,993.9725
3.240,0,1,heuristic,0.3588,0.2723,1.1597,0.6733,0.6853,0.9607,0.4180,1.7071,2.5000,-18.1454,1.0058,28.1251,0.5631,3.0000,0.0000,2.0000,0,14.1273,82.2039,987.1497,534.6768,452.4729,0.0000,0.0000,82.2039,987.1497
3.290,0,1,heuristic,0.4081,0.3287,1.1718,0.7283,0.7653,1.0565,0.4570,1.7088,2.5000,-18.1566,1.0058,28.0830,0.5492,3.0000,0.0000,2.0000,0,14.1273,192.2039,1000.0000,596.1019,403.8981,0.0000,0.0000,192.2039,1000.0000
3.340,0,1,heuristic,0.4570,0.3865,1.1975,0.7862,0.8529,1.1600,0.4873,1.7109,2.5000,-18.1680,1.0058,28.0339,0.5391,3.0000,0.0000,2.0000,0,14.1273,231.7973,992.9615,612.3794,380.5821,0.0000,0.0000,231.7973,992.9615
3.390,0,1,heuristic,0.5111,0.4528,1.2156,0.8373,0.9373,1.2568,0.5025,1.7129,2.5000,-18.1784,1.0058,27.9836,0.5154,3.0000,0.0000,2.0000,0,14.1273,282.4353,995.0708,638.7531,356.3178,0.0000,0.0000,282.4353,995.0708
3.440,0,1,heuristic,0.5641,0.5202,1.2345,0.8904,1.0307,1.3621,0.5005,1.7151,2.5000,-18.1886,1.0058,27.9257,0.4995,3.0000,0.0000,2.0000,0,14.1273,352.7562,1000.0000,676.3781,323.6219,0.0000,0.0000,352.7562,1000.0000
3.490,0,1,heuristic,0.6221,0.5973,1.2589,0.9354,1.1210,1.4600,0.5312,1.7174,2.5000,-18.1973,1.0058,27.8667,0.4829,3.0000,0.0000,2.0000,0,14.1273,291.0176,999.6710,645.3443,354.3267,0.0000,0.0000,291.0176,999.6710
3.540,0,1,heuristic,0.6782,0.6751,1.2838,0.9823,1.2211,1.5671,0.5155,1.7198,2.5000,-18.2050,1.0058,27.7990,0.4610,3.0000,0.0000,2.0000,0,14.1273,252.6434,1000.0000,626.3217,373.6783,0.0000,0.0000,252.6434,1000.0000
3.590,0,1,heuristic,0.6782,0.6751,1.2940,0.9823,1.2211,1.5671,0.5152,1.7222,2.5000,-18.2107,1.0058,27.7305,0.4384,3.0000,0.0000,2.0000,0,14.1273,189.6607,999.9992,594.8300,405.1693,0.0000,0.0000,189.6607,999.9992
3.640,0,1,heuristic,0.7392,0.7630,1.3198,1.0205,1.3151,1.6646,0.5215,1.7222,2.5000,-18.2107,1.0058,27.7305,0.4283,3.0000,0.0000,2.0000,0,14.1273,173.1582,1000.0000,586.5791,413.4209,0.0000,0.0000,173.1582,1000.0000
3.690,0,1,heuristic,0.7979,0.8501,1.3354,1.0608,1.4149,1.7684,0.5513,1.7249,2.5000,-18.2152,1.0058,27.6528,0.4051,3.0000,0.0000,2.0000,0,14.1273,283.1582,976.4241,629.7911,346.6329,0.0000,0.0000,283.1582,976.4241
3.740,0,1,heuristic,0.7979,0.8501,1.3565,1.0608,1.4149,1.7684,0.5440,1.7275,2.5000,-18.2181,1.0058,27.5759,0.3921,3.0000,0.0000,2.0000,0,14.1273,269.5452,981.3579,625.4516,355.9063,0.0000,0.0000,269.5452,981.3579
3.790,0,1,heuristic,0.8611,0.9465,1.3781,1.0920,1.5026,1.8575,0.5687,1.7275,2.5000,-18.2181,1.0058,27.5759,0.3709,3.0000,0.0000,2.0000,0,14.1273,361.0124,1000.0000,680.5062,319.4938,0.0000,0.0000,361.0124,1000.0000
3.840,0,1,heuristic,0.9213,1.0410,1.3945,1.1243,1.5960,1.9522,0.5573,1.7303,2.5000,-18.2199,1.0058,27.4907,0.3522,3.0000,0.0000,2.0000,0,14.1273,436.8881,999.9974,718.4428,281.5546,0.0000,0.0000,436.8881,999.9974
3.890,0,1,heuristic,0.9853,1.1456,1.4165,1.1457,1.6790,2.0326,0.5735,1.7330,2.5000,-18.2201,1.0058,27.4070,0.3385,3.0000,0.0000,2.0000,0,14.1273,336.0030,1000.0000,668.0015,331.9985,0.0000,0.0000,336.0030,1000.0000
3.940,0,1,heuristic,1.0454,1.2484,1.4440,1.1669,1.7713,2.1212,0.5577,1.7360,2.5000,-18.2182,1.0058,27.3143,0.3195,3.0000,0.0000,2.0000,0,14.1273,348.9853,1000.0000,674.4926,325.5074,0.0000,0.0000,348.9853,1000.0000
3.990,0,1,heuristic,1.0454,1.2484,1.4550,1.1669,1.7713,2.1212,0.5613,1.7388,2.5000,-18.2140,1.0058,27.2229,0.2948,3.0000,0.0000,2.0000,0,14.1273,369.1121,998.3521,683.7321,314.6200,0.0000,0.0000,369.1121,998.3521
4.040,0,1,heuristic,1.1086,1.3617,1.4881,1.1764,1.8528,2.1948,0.5312,1.7388,2.5000,-18.2140,1.0058,27.2229,0.2837,3.0000,0.0000,2.0000,0,14.1273,388.1729,1000.0000,694.0865,305.9135,0.0000,0.0000,388.1729,1000.0000
