t,mode_code,shadow_mode,policy_source,x,y,yaw,vx,vy,speed,yaw_rate,psi_ref,u_ref,e_ct,chi_p,dist_to_wp,heading_error,pos_tol,hold_elapsed,hold_required,completed,seg_len,left_raw,right_raw,common_raw,diff_raw,delta_common,delta_diff,left_final,right_final
2.242,0,0,heuristic,0.0102,-0.0416,1.0279,0.0215,-0.0870,0.0897,0.0170,1.6919,2.5000,-8.7976,1.3629,27.2305,0.6640,3.0000,0.0000,2.0000,0,16.3315,110.0000,110.0000,110.0000,0.0000,26.0315,15.7149,120.3166,151.7464
2.292,0,0,heuristic,0.0116,-0.0467,1.0283,0.0229,-0.0892,0.0921,0.0053,1.6919,2.5000,-8.8001,1.3629,27.2358,0.6636,3.0000,0.0000,2.0000,0,16.3315,136.7633,220.0000,178.3816,41.6184,26.0052,15.8611,146.9074,261.8663
2.342,0,0,heuristic,0.0131,-0.0511,1.0287,0.0243,-0.0895,0.0927,0.0045,1.6920,2.5000,-8.8024,1.3629,27.2402,0.6632,3.0000,0.0000,2.0000,0,16.3315,99.7473,269.4327,184.5900,84.8427,25.9985,15.8596,109.8862,311.2908
2.392,0,0,heuristic,0.0155,-0.0541,1.0293,0.0289,-0.0830,0.0879,0.0182,1.6921,2.5000,-8.8054,1.3629,27.2435,0.6628,3.0000,0.0000,2.0000,0,16.3315,60.9093,319.5155,190.2124,129.3031,26.0504,15.6596,71.3001,361.2255
2.442,0,0,heuristic,0.0195,-0.0547,1.0298,0.0396,-0.0693,0.0798,0.0338,1.6922,2.5000,-8.8094,1.3629,27.2446,0.6624,3.0000,0.0000,2.0000,0,16.3315,8.8200,341.7721,175.2961,166.4761,26.1382,15.4388,19.5194,383.3491
2.492,0,0,heuristic,0.0259,-0.0529,1.0312,0.0563,-0.0482,0.0741,0.0607,1.6924,2.5000,-8.8153,1.3629,27.2436,0.6613,3.0000,0.0000,2.0000,0,16.3315,-96.3394,316.5846,110.1226,206.4620,26.1997,15.0418,-85.1815,357.8261
2.542,0,0,heuristic,0.0342,-0.0486,1.0326,0.0795,-0.0208,0.0822,0.0520,1.6928,2.5000,-8.8225,1.3629,27.2404,0.6602,3.0000,0.0000,2.0000,0,16.3315,-115.1704,368.8838,126.8567,242.0271,26.1121,15.1251,-104.1834,410.1210
2.592,0,0,heuristic,0.0455,-0.0415,1.0352,0.1073,0.0108,0.1078,0.0960,1.6932,2.5000,-8.8321,1.3629,27.2347,0.6580,3.0000,0.0000,2.0000,0,16.3315,-36.4486,374.5177,169.0345,205.4831,25.8355,14.4667,-25.0798,414.8199
2.642,0,0,heuristic,0.0583,-0.0327,1.0388,0.1391,0.0453,0.1463,0.1403,1.6937,2.5000,-8.8428,1.3629,27.2275,0.6549,3.0000,0.0000,2.0000,0,16.3315,-106.0798,484.5177,189.2190,295.2987,25.4202,13.7734,-94.4329,523.7112
2.692,0,0,heuristic,0.0740,-0.0208,1.0449,0.1717,0.0819,0.1902,0.1648,1.6943,2.5000,-8.8558,1.3629,27.2176,0.6494,3.0000,0.0000,2.0000,0,16.3315,-91.9494,594.5177,251.2841,343.2335,24.9458,13.2733,-80.2769,632.7367
2.742,0,0,heuristic,0.0908,-0.0070,1.0500,0.2074,0.1231,0.2412,0.1735,1.6950,2.5000,-8.8694,1.3629,27.2060,0.6450,3.0000,0.0000,2.0000,0,16.3315,-138.5074,613.3898,237.4412,375.9486,24.3949,13.0173,-127.1298,650.8020
2.792,0,0,heuristic,0.0908,-0.0070,1.0561,0.2074,0.1231,0.2412,0.2135,1.6950,2.5000,-8.8694,1.3629,27.2060,0.6389,3.0000,0.0000,2.0000,0,16.3315,-168.2839,677.2668,254.4914,422.7753,24.3949,12.2912,-156.1802,713.9528
2.842,0,0,heuristic,0.1114,0.0107,1.0652,0.2449,0.1667,0.2963,0.2490,1.6958,2.5000,-8.8858,1.3629,27.1909,0.6307,3.0000,0.0000,2.0000,0,16.3315,-107.0504,713.0375,302.9935,410.0439,23.8003,11.5557,-94.8058,748.3935
